[INFO] [1700611438.393628, 0.000000]: Start power_monitor
[INFO] [1700611439.526569, 1710419125.316089]: timestamp 1700611439.00 VDD_IN 5160mW/5160mW VDD_CPU_GPU_CV 1187mW/1187mW VDD_SOC 1145mW/1145mW
[INFO] [1700611440.535007, 1710419126.326972]: timestamp 1700611440.00 VDD_IN 6892mW/6026mW VDD_CPU_GPU_CV 2621mW/1904mW VDD_SOC 1228mW/1186mW
[INFO] [1700611441.552571, 1710419127.349169]: timestamp 1700611441.00 VDD_IN 5488mW/5846mW VDD_CPU_GPU_CV 1474mW/1760mW VDD_SOC 1145mW/1172mW
[INFO] [1700611442.572134, 1710419128.361115]: timestamp 1700611442.00 VDD_IN 4628mW/5542mW VDD_CPU_GPU_CV 696mW/1494mW VDD_SOC 1104mW/1155mW
[INFO] [1700611443.590630, 1710419129.383960]: timestamp 1700611443.00 VDD_IN 4874mW/5408mW VDD_CPU_GPU_CV 942mW/1384mW VDD_SOC 1104mW/1145mW
[INFO] [1700611444.610913, 1710419130.405135]: timestamp 1700611444.00 VDD_IN 7220mW/5710mW VDD_CPU_GPU_CV 2908mW/1638mW VDD_SOC 1228mW/1159mW
[INFO] [1700611445.629775, 1710419131.428296]: timestamp 1700611445.00 VDD_IN 8163mW/6060mW VDD_CPU_GPU_CV 3563mW/1913mW VDD_SOC 1351mW/1186mW
[INFO] [1700611446.646798, 1710419132.439442]: timestamp 1700611446.00 VDD_IN 8040mW/6308mW VDD_CPU_GPU_CV 3481mW/2109mW VDD_SOC 1351mW/1207mW
[INFO] [1700611447.666296, 1710419133.462177]: timestamp 1700611447.00 VDD_IN 8327mW/6532mW VDD_CPU_GPU_CV 3850mW/2302mW VDD_SOC 1310mW/1218mW
[INFO] [1700611448.685893, 1710419134.483896]: timestamp 1700611448.00 VDD_IN 7999mW/6679mW VDD_CPU_GPU_CV 3440mW/2416mW VDD_SOC 1351mW/1231mW
[INFO] [1700611449.709337, 1710419135.505734]: timestamp 1700611449.00 VDD_IN 8491mW/6843mW VDD_CPU_GPU_CV 3809mW/2542mW VDD_SOC 1392mW/1246mW
[INFO] [1700611450.727815, 1710419136.518601]: timestamp 1700611450.00 VDD_IN 8245mW/6960mW VDD_CPU_GPU_CV 3727mW/2641mW VDD_SOC 1351mW/1255mW
[INFO] [1700611451.747143, 1710419137.540942]: timestamp 1700611451.00 VDD_IN 8491mW/7078mW VDD_CPU_GPU_CV 3809mW/2731mW VDD_SOC 1392mW/1265mW
[INFO] [1700611452.766769, 1710419138.564109]: timestamp 1700611452.00 VDD_IN 8368mW/7170mW VDD_CPU_GPU_CV 3768mW/2805mW VDD_SOC 1351mW/1271mW
[INFO] [1700611453.786088, 1710419139.575442]: timestamp 1700611453.00 VDD_IN 7753mW/7209mW VDD_CPU_GPU_CV 3235mW/2834mW VDD_SOC 1310mW/1274mW
[INFO] [1700611454.805633, 1710419140.592605]: timestamp 1700611454.00 VDD_IN 8081mW/7263mW VDD_CPU_GPU_CV 3481mW/2874mW VDD_SOC 1351mW/1279mW
[INFO] [1700611455.825851, 1710419141.614843]: timestamp 1700611455.00 VDD_IN 8163mW/7316mW VDD_CPU_GPU_CV 3645mW/2919mW VDD_SOC 1351mW/1283mW
[INFO] [1700611456.844173, 1710419142.636903]: timestamp 1700611456.00 VDD_IN 8245mW/7368mW VDD_CPU_GPU_CV 3604mW/2957mW VDD_SOC 1392mW/1289mW
[INFO] [1700611457.864040, 1710419143.660057]: timestamp 1700611457.00 VDD_IN 8204mW/7412mW VDD_CPU_GPU_CV 3563mW/2989mW VDD_SOC 1392mW/1294mW
[INFO] [1700611458.882539, 1710419144.673635]: timestamp 1700611458.00 VDD_IN 7917mW/7437mW VDD_CPU_GPU_CV 3399mW/3010mW VDD_SOC 1310mW/1295mW
[INFO] [1700611459.897954, 1710419145.695139]: timestamp 1700611459.00 VDD_IN 7958mW/7462mW VDD_CPU_GPU_CV 3399mW/3028mW VDD_SOC 1351mW/1298mW
[INFO] [1700611460.916000, 1710419146.706823]: timestamp 1700611460.00 VDD_IN 8697mW/7518mW VDD_CPU_GPU_CV 4177mW/3080mW VDD_SOC 1310mW/1298mW
