[INFO] [1700606216.051418, 0.000000]: Start power_monitor
[INFO] [1700606217.542937, 1710419125.519394]: timestamp 1700606217.00 VDD_IN 5079mW/5079mW VDD_CPU_GPU_CV 1064mW/1064mW VDD_SOC 1145mW/1145mW
[INFO] [1700606218.552540, 1710419126.534500]: timestamp 1700606218.00 VDD_IN 8163mW/6621mW VDD_CPU_GPU_CV 3153mW/2108mW VDD_SOC 1433mW/1289mW
[INFO] [1700606219.559200, 1710419127.541565]: timestamp 1700606219.00 VDD_IN 7753mW/6998mW VDD_CPU_GPU_CV 2867mW/2361mW VDD_SOC 1431mW/1336mW
[INFO] [1700606220.565272, 1710419128.546937]: timestamp 1700606220.00 VDD_IN 9025mW/7505mW VDD_CPU_GPU_CV 3645mW/2682mW VDD_SOC 1638mW/1411mW
[INFO] [1700606221.572943, 1710419129.551886]: timestamp 1700606221.00 VDD_IN 9435mW/7891mW VDD_CPU_GPU_CV 3891mW/2924mW VDD_SOC 1679mW/1465mW
[INFO] [1700606222.579165, 1710419130.556742]: timestamp 1700606222.00 VDD_IN 10256mW/8285mW VDD_CPU_GPU_CV 4546mW/3194mW VDD_SOC 1761mW/1514mW
[INFO] [1700606223.588544, 1710419131.560885]: timestamp 1700606223.00 VDD_IN 10789mW/8642mW VDD_CPU_GPU_CV 4915mW/3440mW VDD_SOC 1802mW/1555mW
[INFO] [1700606224.597318, 1710419132.574276]: timestamp 1700606224.00 VDD_IN 10543mW/8880mW VDD_CPU_GPU_CV 4751mW/3604mW VDD_SOC 1802mW/1586mW
[INFO] [1700606225.605481, 1710419133.578464]: timestamp 1700606225.00 VDD_IN 10584mW/9069mW VDD_CPU_GPU_CV 4751mW/3731mW VDD_SOC 1802mW/1610mW
[INFO] [1700606226.614044, 1710419134.591971]: timestamp 1700606226.00 VDD_IN 6594mW/8822mW VDD_CPU_GPU_CV 2129mW/3571mW VDD_SOC 1308mW/1580mW
[INFO] [1700606227.624067, 1710419135.596565]: timestamp 1700606227.00 VDD_IN 5324mW/8504mW VDD_CPU_GPU_CV 1269mW/3361mW VDD_SOC 1145mW/1540mW
[INFO] [1700606228.631622, 1710419136.611282]: timestamp 1700606228.00 VDD_IN 5242mW/8232mW VDD_CPU_GPU_CV 1187mW/3180mW VDD_SOC 1145mW/1507mW
[INFO] [1700606229.639313, 1710419137.616492]: timestamp 1700606229.00 VDD_IN 5120mW/7992mW VDD_CPU_GPU_CV 1146mW/3024mW VDD_SOC 1145mW/1479mW
[INFO] [1700606230.646890, 1710419138.621423]: timestamp 1700606230.00 VDD_IN 4997mW/7778mW VDD_CPU_GPU_CV 1024mW/2881mW VDD_SOC 1145mW/1455mW
[INFO] [1700606231.659739, 1710419139.634224]: timestamp 1700606231.00 VDD_IN 4997mW/7593mW VDD_CPU_GPU_CV 1024mW/2757mW VDD_SOC 1145mW/1435mW
[INFO] [1700606232.698659, 1710419140.672092]: timestamp 1700606232.00 VDD_IN 5324mW/7451mW VDD_CPU_GPU_CV 1269mW/2664mW VDD_SOC 1185mW/1419mW
[INFO] [1700606233.724463, 1710419141.698514]: timestamp 1700606233.00 VDD_IN 5201mW/7319mW VDD_CPU_GPU_CV 1187mW/2577mW VDD_SOC 1145mW/1403mW
[INFO] [1700606234.875728, 1710419142.849089]: timestamp 1700606234.00 VDD_IN 5242mW/7203mW VDD_CPU_GPU_CV 1187mW/2500mW VDD_SOC 1145mW/1388mW
[INFO] [1700606235.883174, 1710419143.861518]: timestamp 1700606235.00 VDD_IN 5160mW/7096mW VDD_CPU_GPU_CV 1105mW/2426mW VDD_SOC 1145mW/1376mW
[INFO] [1700606236.892341, 1710419144.865630]: timestamp 1700606236.00 VDD_IN 4956mW/6989mW VDD_CPU_GPU_CV 942mW/2352mW VDD_SOC 1145mW/1364mW
[INFO] [1700606237.901368, 1710419145.881760]: timestamp 1700606237.00 VDD_IN 9230mW/7095mW VDD_CPU_GPU_CV 3891mW/2425mW VDD_SOC 1597mW/1375mW
[INFO] [1700606238.909192, 1710419146.883073]: timestamp 1700606238.00 VDD_IN 10543mW/7252mW VDD_CPU_GPU_CV 4833mW/2535mW VDD_SOC 1761mW/1393mW
[INFO] [1700606239.917604, 1710419147.897956]: timestamp 1700606239.00 VDD_IN 10461mW/7392mW VDD_CPU_GPU_CV 4792mW/2633mW VDD_SOC 1720mW/1407mW
[INFO] [1700606240.925634, 1710419124.036405]: timestamp 1700606240.00 VDD_IN 10789mW/7533mW VDD_CPU_GPU_CV 5038mW/2733mW VDD_SOC 1761mW/1422mW
[INFO] [1700606241.932676, 1710419125.041114]: timestamp 1700606241.00 VDD_IN 10420mW/7649mW VDD_CPU_GPU_CV 4833mW/2817mW VDD_SOC 1720mW/1434mW
[INFO] [1700606242.940234, 1710419126.054541]: timestamp 1700606242.00 VDD_IN 10214mW/7747mW VDD_CPU_GPU_CV 4669mW/2888mW VDD_SOC 1720mW/1445mW
[INFO] [1700606243.951177, 1710419127.059941]: timestamp 1700606243.00 VDD_IN 7835mW/7750mW VDD_CPU_GPU_CV 2908mW/2889mW VDD_SOC 1474mW/1446mW
[INFO] [1700606244.970124, 1710419128.082627]: timestamp 1700606244.00 VDD_IN 5406mW/7667mW VDD_CPU_GPU_CV 1310mW/2833mW VDD_SOC 1185mW/1436mW
[INFO] [1700606245.989984, 1710419129.096992]: timestamp 1700606245.00 VDD_IN 5242mW/7583mW VDD_CPU_GPU_CV 1187mW/2776mW VDD_SOC 1145mW/1426mW
[INFO] [1700606247.008568, 1710419130.122045]: timestamp 1700606247.00 VDD_IN 5201mW/7504mW VDD_CPU_GPU_CV 1146mW/2721mW VDD_SOC 1145mW/1417mW
[INFO] [1700606248.030106, 1710419131.136203]: timestamp 1700606248.00 VDD_IN 5120mW/7427mW VDD_CPU_GPU_CV 1105mW/2669mW VDD_SOC 1145mW/1408mW
[INFO] [1700606249.050338, 1710419132.160256]: timestamp 1700606249.00 VDD_IN 5079mW/7353mW VDD_CPU_GPU_CV 1064mW/2619mW VDD_SOC 1145mW/1400mW
[INFO] [1700606250.067425, 1710419133.173258]: timestamp 1700606250.00 VDD_IN 5120mW/7286mW VDD_CPU_GPU_CV 1105mW/2573mW VDD_SOC 1145mW/1392mW
