[INFO] [1700613488.442667, 0.000000]: Start power_monitor
[INFO] [1700613489.569625, 1710419136.231263]: timestamp 1700613489.00 VDD_IN 5120mW/5120mW VDD_CPU_GPU_CV 1146mW/1146mW VDD_SOC 1145mW/1145mW
[INFO] [1700613490.578451, 1710419137.242782]: timestamp 1700613490.00 VDD_IN 4874mW/4997mW VDD_CPU_GPU_CV 901mW/1023mW VDD_SOC 1145mW/1145mW
[INFO] [1700613491.598262, 1710419138.258677]: timestamp 1700613491.00 VDD_IN 5242mW/5078mW VDD_CPU_GPU_CV 1269mW/1105mW VDD_SOC 1145mW/1145mW
[INFO] [1700613492.617039, 1710419139.280127]: timestamp 1700613492.00 VDD_IN 4833mW/5017mW VDD_CPU_GPU_CV 901mW/1054mW VDD_SOC 1145mW/1145mW
[INFO] [1700613493.636062, 1710419140.302292]: timestamp 1700613493.00 VDD_IN 4956mW/5005mW VDD_CPU_GPU_CV 983mW/1040mW VDD_SOC 1145mW/1145mW
[INFO] [1700613494.655964, 1710419141.315300]: timestamp 1700613494.00 VDD_IN 4915mW/4990mW VDD_CPU_GPU_CV 942mW/1023mW VDD_SOC 1145mW/1145mW
[INFO] [1700613495.678488, 1710419142.338623]: timestamp 1700613495.00 VDD_IN 4956mW/4985mW VDD_CPU_GPU_CV 942mW/1012mW VDD_SOC 1145mW/1145mW
[INFO] [1700613496.695430, 1710419143.359474]: timestamp 1700613496.00 VDD_IN 4915mW/4976mW VDD_CPU_GPU_CV 942mW/1003mW VDD_SOC 1145mW/1145mW
[INFO] [1700613497.714364, 1710419144.381645]: timestamp 1700613497.00 VDD_IN 5038mW/4983mW VDD_CPU_GPU_CV 901mW/991mW VDD_SOC 1145mW/1145mW
[INFO] [1700613498.733703, 1710419145.393330]: timestamp 1700613498.00 VDD_IN 4915mW/4976mW VDD_CPU_GPU_CV 901mW/982mW VDD_SOC 1145mW/1145mW
[INFO] [1700613499.754040, 1710419146.415502]: timestamp 1700613499.00 VDD_IN 4874mW/4967mW VDD_CPU_GPU_CV 942mW/979mW VDD_SOC 1145mW/1145mW
[INFO] [1700613500.774298, 1710419147.437379]: timestamp 1700613500.00 VDD_IN 4997mW/4969mW VDD_CPU_GPU_CV 983mW/979mW VDD_SOC 1145mW/1145mW
[INFO] [1700613501.794209, 1710419148.455528]: timestamp 1700613501.00 VDD_IN 5038mW/4974mW VDD_CPU_GPU_CV 1064mW/985mW VDD_SOC 1145mW/1145mW
[INFO] [1700613502.812929, 1710419124.603890]: timestamp 1700613502.00 VDD_IN 4997mW/4976mW VDD_CPU_GPU_CV 1024mW/988mW VDD_SOC 1145mW/1145mW
[INFO] [1700613503.835014, 1710419125.625923]: timestamp 1700613503.00 VDD_IN 4833mW/4966mW VDD_CPU_GPU_CV 860mW/980mW VDD_SOC 1104mW/1142mW
[INFO] [1700613504.852240, 1710419126.647454]: timestamp 1700613504.00 VDD_IN 4874mW/4961mW VDD_CPU_GPU_CV 901mW/975mW VDD_SOC 1145mW/1142mW
[INFO] [1700613505.872592, 1710419127.668716]: timestamp 1700613505.00 VDD_IN 4874mW/4955mW VDD_CPU_GPU_CV 901mW/970mW VDD_SOC 1104mW/1140mW
[INFO] [1700613506.888337, 1710419128.681448]: timestamp 1700613506.00 VDD_IN 4997mW/4958mW VDD_CPU_GPU_CV 1024mW/973mW VDD_SOC 1145mW/1140mW
[INFO] [1700613507.908519, 1710419129.703469]: timestamp 1700613507.00 VDD_IN 4833mW/4951mW VDD_CPU_GPU_CV 901mW/969mW VDD_SOC 1104mW/1138mW
[INFO] [1700613508.926856, 1710419130.725182]: timestamp 1700613508.00 VDD_IN 4956mW/4951mW VDD_CPU_GPU_CV 983mW/970mW VDD_SOC 1145mW/1138mW
[INFO] [1700613509.946370, 1710419131.738033]: timestamp 1700613509.00 VDD_IN 4792mW/4944mW VDD_CPU_GPU_CV 860mW/965mW VDD_SOC 1104mW/1137mW
[INFO] [1700613510.978020, 1710419132.775860]: timestamp 1700613510.00 VDD_IN 5120mW/4952mW VDD_CPU_GPU_CV 1146mW/973mW VDD_SOC 1145mW/1137mW
[INFO] [1700613511.998352, 1710419133.789712]: timestamp 1700613511.00 VDD_IN 4956mW/4952mW VDD_CPU_GPU_CV 1024mW/975mW VDD_SOC 1145mW/1137mW
[INFO] [1700613513.015062, 1710419134.811993]: timestamp 1700613513.00 VDD_IN 4997mW/4954mW VDD_CPU_GPU_CV 1024mW/977mW VDD_SOC 1145mW/1138mW
[INFO] [1700613514.034617, 1710419135.833344]: timestamp 1700613514.00 VDD_IN 4915mW/4952mW VDD_CPU_GPU_CV 942mW/976mW VDD_SOC 1145mW/1138mW
[INFO] [1700613515.056642, 1710419136.855958]: timestamp 1700613515.00 VDD_IN 4874mW/4949mW VDD_CPU_GPU_CV 901mW/973mW VDD_SOC 1104mW/1137mW
[INFO] [1700613516.076692, 1710419137.867605]: timestamp 1700613516.00 VDD_IN 4833mW/4945mW VDD_CPU_GPU_CV 860mW/969mW VDD_SOC 1104mW/1135mW
[INFO] [1700613517.097314, 1710419138.888923]: timestamp 1700613517.00 VDD_IN 4956mW/4945mW VDD_CPU_GPU_CV 983mW/969mW VDD_SOC 1145mW/1136mW
[INFO] [1700613518.118783, 1710419139.913013]: timestamp 1700613518.00 VDD_IN 5242mW/4955mW VDD_CPU_GPU_CV 1269mW/980mW VDD_SOC 1145mW/1136mW
[INFO] [1700613519.138506, 1710419140.936228]: timestamp 1700613519.00 VDD_IN 4915mW/4954mW VDD_CPU_GPU_CV 942mW/978mW VDD_SOC 1145mW/1136mW
[INFO] [1700613520.154640, 1710419141.949349]: timestamp 1700613520.00 VDD_IN 4874mW/4951mW VDD_CPU_GPU_CV 942mW/977mW VDD_SOC 1104mW/1135mW
[INFO] [1700613521.174191, 1710419142.974405]: timestamp 1700613521.00 VDD_IN 5775mW/4977mW VDD_CPU_GPU_CV 1761mW/1002mW VDD_SOC 1145mW/1136mW
[INFO] [1700613522.191936, 1710419143.989389]: timestamp 1700613522.00 VDD_IN 5038mW/4979mW VDD_CPU_GPU_CV 1064mW/1003mW VDD_SOC 1145mW/1136mW
[INFO] [1700613523.213815, 1710419145.011635]: timestamp 1700613523.00 VDD_IN 4833mW/4975mW VDD_CPU_GPU_CV 901mW/1000mW VDD_SOC 1104mW/1135mW
[INFO] [1700613524.233969, 1710419146.025619]: timestamp 1700613524.00 VDD_IN 4956mW/4974mW VDD_CPU_GPU_CV 983mW/1000mW VDD_SOC 1145mW/1135mW
