[INFO] [1700608667.870564, 0.000000]: Start power_monitor
[INFO] [1700608669.352736, 1710419140.309348]: timestamp 1700608669.00 VDD_IN 9640mW/9640mW VDD_CPU_GPU_CV 4177mW/4177mW VDD_SOC 1638mW/1638mW
[INFO] [1700608670.361038, 1710419141.317312]: timestamp 1700608670.00 VDD_IN 10502mW/10071mW VDD_CPU_GPU_CV 4751mW/4464mW VDD_SOC 1761mW/1699mW
[INFO] [1700608671.371608, 1710419142.332446]: timestamp 1700608671.00 VDD_IN 11937mW/10693mW VDD_CPU_GPU_CV 6062mW/4996mW VDD_SOC 1802mW/1733mW
[INFO] [1700608672.379560, 1710419143.335764]: timestamp 1700608672.00 VDD_IN 6594mW/9668mW VDD_CPU_GPU_CV 2088mW/4269mW VDD_SOC 1308mW/1627mW
[INFO] [1700608673.388702, 1710419144.342421]: timestamp 1700608673.00 VDD_IN 5160mW/8766mW VDD_CPU_GPU_CV 1146mW/3644mW VDD_SOC 1145mW/1530mW
[INFO] [1700608674.396608, 1710419145.358113]: timestamp 1700608674.00 VDD_IN 5038mW/8145mW VDD_CPU_GPU_CV 1064mW/3214mW VDD_SOC 1145mW/1466mW
[INFO] [1700608675.405000, 1710419146.362418]: timestamp 1700608675.00 VDD_IN 5079mW/7707mW VDD_CPU_GPU_CV 1064mW/2907mW VDD_SOC 1145mW/1420mW
[INFO] [1700608676.413378, 1710419147.375245]: timestamp 1700608676.00 VDD_IN 4956mW/7363mW VDD_CPU_GPU_CV 983mW/2666mW VDD_SOC 1145mW/1386mW
[INFO] [1700608677.420778, 1710419148.382229]: timestamp 1700608677.00 VDD_IN 4874mW/7086mW VDD_CPU_GPU_CV 901mW/2470mW VDD_SOC 1145mW/1359mW
[INFO] [1700608678.429250, 1710419124.522946]: timestamp 1700608678.00 VDD_IN 4997mW/6877mW VDD_CPU_GPU_CV 983mW/2321mW VDD_SOC 1145mW/1337mW
[INFO] [1700608679.436990, 1710419125.529623]: timestamp 1700608679.00 VDD_IN 4956mW/6703mW VDD_CPU_GPU_CV 942mW/2196mW VDD_SOC 1145mW/1320mW
[INFO] [1700608680.446935, 1710419126.541447]: timestamp 1700608680.00 VDD_IN 4833mW/6547mW VDD_CPU_GPU_CV 860mW/2085mW VDD_SOC 1145mW/1305mW
[INFO] [1700608681.454750, 1710419127.545053]: timestamp 1700608681.00 VDD_IN 5242mW/6446mW VDD_CPU_GPU_CV 1269mW/2022mW VDD_SOC 1145mW/1293mW
[INFO] [1700608682.463001, 1710419128.549895]: timestamp 1700608682.00 VDD_IN 9599mW/6671mW VDD_CPU_GPU_CV 4055mW/2167mW VDD_SOC 1679mW/1320mW
[INFO] [1700608683.481315, 1710419129.574578]: timestamp 1700608683.00 VDD_IN 10420mW/6921mW VDD_CPU_GPU_CV 4628mW/2331mW VDD_SOC 1802mW/1353mW
[INFO] [1700608684.502801, 1710419130.594322]: timestamp 1700608684.00 VDD_IN 10584mW/7150mW VDD_CPU_GPU_CV 4751mW/2482mW VDD_SOC 1802mW/1381mW
[INFO] [1700608685.522807, 1710419131.615353]: timestamp 1700608685.00 VDD_IN 11527mW/7408mW VDD_CPU_GPU_CV 5611mW/2666mW VDD_SOC 1802mW/1405mW
[INFO] [1700608686.542825, 1710419132.630464]: timestamp 1700608686.00 VDD_IN 6317mW/7347mW VDD_CPU_GPU_CV 1884mW/2623mW VDD_SOC 1308mW/1400mW
[INFO] [1700608687.562598, 1710419133.649664]: timestamp 1700608687.00 VDD_IN 5201mW/7234mW VDD_CPU_GPU_CV 1146mW/2545mW VDD_SOC 1185mW/1389mW
[INFO] [1700608688.579440, 1710419134.674301]: timestamp 1700608688.00 VDD_IN 5160mW/7130mW VDD_CPU_GPU_CV 1146mW/2475mW VDD_SOC 1145mW/1376mW
[INFO] [1700608689.599830, 1710419135.687625]: timestamp 1700608689.00 VDD_IN 9025mW/7221mW VDD_CPU_GPU_CV 3809mW/2539mW VDD_SOC 1597mW/1387mW
[INFO] [1700608690.617328, 1710419136.703394]: timestamp 1700608690.00 VDD_IN 6768mW/7200mW VDD_CPU_GPU_CV 2170mW/2522mW VDD_SOC 1349mW/1385mW
[INFO] [1700608691.636940, 1710419137.727086]: timestamp 1700608691.00 VDD_IN 5447mW/7124mW VDD_CPU_GPU_CV 1392mW/2473mW VDD_SOC 1185mW/1376mW
[INFO] [1700608692.658135, 1710419138.750658]: timestamp 1700608692.00 VDD_IN 5120mW/7040mW VDD_CPU_GPU_CV 1105mW/2416mW VDD_SOC 1145mW/1367mW
[INFO] [1700608693.675537, 1710419139.764645]: timestamp 1700608693.00 VDD_IN 5324mW/6972mW VDD_CPU_GPU_CV 1228mW/2368mW VDD_SOC 1145mW/1358mW
[INFO] [1700608694.691812, 1710419140.786963]: timestamp 1700608694.00 VDD_IN 5038mW/6897mW VDD_CPU_GPU_CV 1064mW/2318mW VDD_SOC 1145mW/1350mW
[INFO] [1700608695.710001, 1710419141.800528]: timestamp 1700608695.00 VDD_IN 4997mW/6827mW VDD_CPU_GPU_CV 983mW/2268mW VDD_SOC 1145mW/1342mW
[INFO] [1700608696.734380, 1710419142.828594]: timestamp 1700608696.00 VDD_IN 4956mW/6760mW VDD_CPU_GPU_CV 942mW/2221mW VDD_SOC 1145mW/1335mW
[INFO] [1700608697.750294, 1710419143.842203]: timestamp 1700608697.00 VDD_IN 5079mW/6702mW VDD_CPU_GPU_CV 1024mW/2180mW VDD_SOC 1145mW/1328mW
[INFO] [1700608698.770056, 1710419144.856553]: timestamp 1700608698.00 VDD_IN 5120mW/6649mW VDD_CPU_GPU_CV 1105mW/2144mW VDD_SOC 1145mW/1322mW
[INFO] [1700608699.790101, 1710419145.883798]: timestamp 1700608699.00 VDD_IN 5038mW/6597mW VDD_CPU_GPU_CV 1024mW/2108mW VDD_SOC 1145mW/1317mW
[INFO] [1700608700.809235, 1710419146.899980]: timestamp 1700608700.00 VDD_IN 5120mW/6551mW VDD_CPU_GPU_CV 1024mW/2074mW VDD_SOC 1145mW/1311mW
[INFO] [1700608701.829217, 1710419147.924328]: timestamp 1700608701.00 VDD_IN 5201mW/6510mW VDD_CPU_GPU_CV 1187mW/2047mW VDD_SOC 1145mW/1306mW
[INFO] [1700608702.847592, 1710419124.075665]: timestamp 1700608702.00 VDD_IN 5120mW/6469mW VDD_CPU_GPU_CV 1105mW/2019mW VDD_SOC 1145mW/1301mW
[INFO] [1700608703.868155, 1710419125.091825]: timestamp 1700608703.00 VDD_IN 5038mW/6428mW VDD_CPU_GPU_CV 1024mW/1991mW VDD_SOC 1145mW/1297mW
[INFO] [1700608705.018315, 1710419126.237167]: timestamp 1700608704.00 VDD_IN 4997mW/6389mW VDD_CPU_GPU_CV 983mW/1963mW VDD_SOC 1145mW/1293mW
[INFO] [1700608706.027177, 1710419127.250356]: timestamp 1700608705.00 VDD_IN 4874mW/6348mW VDD_CPU_GPU_CV 901mW/1934mW VDD_SOC 1145mW/1289mW
[INFO] [1700608707.034217, 1710419128.254757]: timestamp 1700608706.00 VDD_IN 4874mW/6309mW VDD_CPU_GPU_CV 901mW/1907mW VDD_SOC 1145mW/1285mW
[INFO] [1700608708.042802, 1710419129.270305]: timestamp 1700608707.00 VDD_IN 4956mW/6274mW VDD_CPU_GPU_CV 983mW/1883mW VDD_SOC 1145mW/1281mW
[INFO] [1700608709.050587, 1710419130.275683]: timestamp 1700608708.00 VDD_IN 4956mW/6241mW VDD_CPU_GPU_CV 983mW/1861mW VDD_SOC 1145mW/1278mW
[INFO] [1700608710.056937, 1710419131.278535]: timestamp 1700608709.00 VDD_IN 4997mW/6211mW VDD_CPU_GPU_CV 983mW/1839mW VDD_SOC 1145mW/1275mW
[INFO] [1700608711.064562, 1710419132.291617]: timestamp 1700608711.00 VDD_IN 5529mW/6195mW VDD_CPU_GPU_CV 1474mW/1831mW VDD_SOC 1145mW/1271mW
[INFO] [1700608712.072176, 1710419133.300491]: timestamp 1700608712.00 VDD_IN 5079mW/6169mW VDD_CPU_GPU_CV 1064mW/1813mW VDD_SOC 1145mW/1269mW
[INFO] [1700608713.080729, 1710419134.305032]: timestamp 1700608713.00 VDD_IN 4915mW/6140mW VDD_CPU_GPU_CV 942mW/1793mW VDD_SOC 1145mW/1266mW
[INFO] [1700608714.087891, 1710419135.307126]: timestamp 1700608714.00 VDD_IN 4956mW/6114mW VDD_CPU_GPU_CV 942mW/1774mW VDD_SOC 1145mW/1263mW
[INFO] [1700608715.095624, 1710419136.320778]: timestamp 1700608715.00 VDD_IN 9353mW/6184mW VDD_CPU_GPU_CV 3973mW/1822mW VDD_SOC 1638mW/1271mW
[INFO] [1700608716.103084, 1710419137.328380]: timestamp 1700608716.00 VDD_IN 10461mW/6275mW VDD_CPU_GPU_CV 4669mW/1882mW VDD_SOC 1761mW/1282mW
[INFO] [1700608717.120120, 1710419138.341146]: timestamp 1700608717.00 VDD_IN 10584mW/6365mW VDD_CPU_GPU_CV 4751mW/1942mW VDD_SOC 1802mW/1292mW
[INFO] [1700608718.140228, 1710419139.359300]: timestamp 1700608718.00 VDD_IN 10584mW/6451mW VDD_CPU_GPU_CV 4792mW/2000mW VDD_SOC 1802mW/1303mW
[INFO] [1700608719.160481, 1710419140.383137]: timestamp 1700608719.00 VDD_IN 11076mW/6543mW VDD_CPU_GPU_CV 5201mW/2064mW VDD_SOC 1802mW/1313mW
[INFO] [1700608720.182009, 1710419141.407151]: timestamp 1700608720.00 VDD_IN 10666mW/6624mW VDD_CPU_GPU_CV 4874mW/2119mW VDD_SOC 1802mW/1322mW
