[INFO] [1700612124.503048, 0.000000]: Start power_monitor
[INFO] [1700612125.758786, 1710419140.125819]: timestamp 1700612125.00 VDD_IN 5160mW/5160mW VDD_CPU_GPU_CV 1228mW/1228mW VDD_SOC 1104mW/1104mW
[INFO] [1700612126.767164, 1710419141.144864]: timestamp 1700612126.00 VDD_IN 6194mW/5677mW VDD_CPU_GPU_CV 2007mW/1617mW VDD_SOC 1187mW/1145mW
[INFO] [1700612127.789663, 1710419142.167040]: timestamp 1700612127.00 VDD_IN 5242mW/5532mW VDD_CPU_GPU_CV 1269mW/1501mW VDD_SOC 1145mW/1145mW
[INFO] [1700612128.808573, 1710419143.178051]: timestamp 1700612128.00 VDD_IN 8204mW/6200mW VDD_CPU_GPU_CV 3768mW/2068mW VDD_SOC 1310mW/1186mW
[INFO] [1700612129.827845, 1710419144.200706]: timestamp 1700612129.00 VDD_IN 8450mW/6650mW VDD_CPU_GPU_CV 3891mW/2432mW VDD_SOC 1351mW/1219mW
[INFO] [1700612130.843942, 1710419145.213880]: timestamp 1700612130.00 VDD_IN 8122mW/6895mW VDD_CPU_GPU_CV 3563mW/2621mW VDD_SOC 1351mW/1241mW
[INFO] [1700612131.863231, 1710419146.232542]: timestamp 1700612131.00 VDD_IN 8738mW/7158mW VDD_CPU_GPU_CV 4177mW/2843mW VDD_SOC 1310mW/1251mW
[INFO] [1700612132.882358, 1710419147.256252]: timestamp 1700612132.00 VDD_IN 8574mW/7335mW VDD_CPU_GPU_CV 4014mW/2989mW VDD_SOC 1351mW/1263mW
[INFO] [1700612133.901008, 1710419148.271141]: timestamp 1700612133.00 VDD_IN 7999mW/7409mW VDD_CPU_GPU_CV 3440mW/3039mW VDD_SOC 1351mW/1273mW
[INFO] [1700612134.919137, 1710419124.424139]: timestamp 1700612134.00 VDD_IN 8984mW/7566mW VDD_CPU_GPU_CV 4464mW/3182mW VDD_SOC 1310mW/1277mW
[INFO] [1700612135.936843, 1710419125.437583]: timestamp 1700612135.00 VDD_IN 8368mW/7639mW VDD_CPU_GPU_CV 3768mW/3235mW VDD_SOC 1351mW/1283mW
[INFO] [1700612136.954669, 1710419126.460283]: timestamp 1700612136.00 VDD_IN 8081mW/7676mW VDD_CPU_GPU_CV 3481mW/3255mW VDD_SOC 1351mW/1289mW
[INFO] [1700612137.973755, 1710419127.483003]: timestamp 1700612137.00 VDD_IN 8450mW/7735mW VDD_CPU_GPU_CV 3891mW/3304mW VDD_SOC 1310mW/1290mW
[INFO] [1700612138.993269, 1710419128.498379]: timestamp 1700612138.00 VDD_IN 8245mW/7772mW VDD_CPU_GPU_CV 3645mW/3329mW VDD_SOC 1351mW/1295mW
[INFO] [1700612140.010913, 1710419129.521186]: timestamp 1700612140.00 VDD_IN 7958mW/7784mW VDD_CPU_GPU_CV 3358mW/3330mW VDD_SOC 1351mW/1298mW
[INFO] [1700612141.027570, 1710419130.534085]: timestamp 1700612141.00 VDD_IN 9148mW/7869mW VDD_CPU_GPU_CV 4628mW/3412mW VDD_SOC 1351mW/1302mW
[INFO] [1700612142.046282, 1710419131.547175]: timestamp 1700612142.00 VDD_IN 8327mW/7896mW VDD_CPU_GPU_CV 3686mW/3428mW VDD_SOC 1351mW/1305mW
[INFO] [1700612143.065157, 1710419132.568912]: timestamp 1700612143.00 VDD_IN 7794mW/7891mW VDD_CPU_GPU_CV 3358mW/3424mW VDD_SOC 1310mW/1305mW
[INFO] [1700612144.084356, 1710419133.590590]: timestamp 1700612144.00 VDD_IN 8163mW/7905mW VDD_CPU_GPU_CV 3604mW/3433mW VDD_SOC 1351mW/1307mW
[INFO] [1700612145.102523, 1710419134.604267]: timestamp 1700612145.00 VDD_IN 7835mW/7901mW VDD_CPU_GPU_CV 3276mW/3425mW VDD_SOC 1351mW/1309mW
[INFO] [1700612146.120966, 1710419135.625488]: timestamp 1700612146.00 VDD_IN 8409mW/7925mW VDD_CPU_GPU_CV 3850mW/3446mW VDD_SOC 1351mW/1311mW
[INFO] [1700612147.143089, 1710419136.647086]: timestamp 1700612147.00 VDD_IN 8532mW/7953mW VDD_CPU_GPU_CV 3932mW/3468mW VDD_SOC 1351mW/1313mW
[INFO] [1700612148.162167, 1710419137.669136]: timestamp 1700612148.00 VDD_IN 8327mW/7969mW VDD_CPU_GPU_CV 3768mW/3481mW VDD_SOC 1351mW/1315mW
[INFO] [1700612149.180624, 1710419138.690789]: timestamp 1700612149.00 VDD_IN 8532mW/7993mW VDD_CPU_GPU_CV 3973mW/3501mW VDD_SOC 1351mW/1316mW
[INFO] [1700612150.198917, 1710419139.702296]: timestamp 1700612150.00 VDD_IN 8450mW/8011mW VDD_CPU_GPU_CV 3850mW/3515mW VDD_SOC 1351mW/1318mW
[INFO] [1700612151.219017, 1710419140.724900]: timestamp 1700612151.00 VDD_IN 9517mW/8069mW VDD_CPU_GPU_CV 4915mW/3569mW VDD_SOC 1351mW/1319mW
[INFO] [1700612152.237613, 1710419141.747468]: timestamp 1700612152.00 VDD_IN 8656mW/8091mW VDD_CPU_GPU_CV 4055mW/3587mW VDD_SOC 1351mW/1320mW
[INFO] [1700612153.260820, 1710419142.768277]: timestamp 1700612153.00 VDD_IN 8574mW/8108mW VDD_CPU_GPU_CV 3932mW/3599mW VDD_SOC 1351mW/1321mW
[INFO] [1700612154.279721, 1710419143.781111]: timestamp 1700612154.00 VDD_IN 8327mW/8115mW VDD_CPU_GPU_CV 3768mW/3605mW VDD_SOC 1351mW/1322mW
[INFO] [1700612155.298267, 1710419144.802801]: timestamp 1700612155.00 VDD_IN 8204mW/8118mW VDD_CPU_GPU_CV 3563mW/3604mW VDD_SOC 1351mW/1323mW
[INFO] [1700612156.317440, 1710419145.826822]: timestamp 1700612156.00 VDD_IN 8286mW/8124mW VDD_CPU_GPU_CV 3686mW/3606mW VDD_SOC 1351mW/1324mW
[INFO] [1700612157.338613, 1710419146.848258]: timestamp 1700612157.00 VDD_IN 8286mW/8129mW VDD_CPU_GPU_CV 3727mW/3610mW VDD_SOC 1351mW/1325mW
[INFO] [1700612158.360111, 1710419147.860041]: timestamp 1700612158.00 VDD_IN 7753mW/8117mW VDD_CPU_GPU_CV 3194mW/3597mW VDD_SOC 1351mW/1326mW
[INFO] [1700612159.380905, 1710419124.023258]: timestamp 1700612159.00 VDD_IN 8245mW/8121mW VDD_CPU_GPU_CV 3727mW/3601mW VDD_SOC 1351mW/1326mW
[INFO] [1700612160.400296, 1710419125.036953]: timestamp 1700612160.00 VDD_IN 8286mW/8126mW VDD_CPU_GPU_CV 3686mW/3604mW VDD_SOC 1351mW/1327mW
[INFO] [1700612161.415862, 1710419126.048498]: timestamp 1700612161.00 VDD_IN 8574mW/8138mW VDD_CPU_GPU_CV 4014mW/3615mW VDD_SOC 1351mW/1328mW
[INFO] [1700612162.433888, 1710419127.070765]: timestamp 1700612162.00 VDD_IN 8491mW/8148mW VDD_CPU_GPU_CV 3891mW/3622mW VDD_SOC 1351mW/1328mW
[INFO] [1700612163.452498, 1710419128.093477]: timestamp 1700612163.00 VDD_IN 8122mW/8147mW VDD_CPU_GPU_CV 3481mW/3619mW VDD_SOC 1351mW/1329mW
[INFO] [1700612164.471464, 1710419129.106791]: timestamp 1700612164.00 VDD_IN 8327mW/8152mW VDD_CPU_GPU_CV 3727mW/3621mW VDD_SOC 1351mW/1329mW
[INFO] [1700612165.490263, 1710419130.128435]: timestamp 1700612165.00 VDD_IN 8409mW/8158mW VDD_CPU_GPU_CV 3850mW/3627mW VDD_SOC 1351mW/1330mW
[INFO] [1700612166.509492, 1710419131.150116]: timestamp 1700612166.00 VDD_IN 8286mW/8161mW VDD_CPU_GPU_CV 3645mW/3628mW VDD_SOC 1392mW/1331mW
[INFO] [1700612167.529602, 1710419132.163462]: timestamp 1700612167.00 VDD_IN 8532mW/8170mW VDD_CPU_GPU_CV 3891mW/3634mW VDD_SOC 1351mW/1332mW
[INFO] [1700612168.551905, 1710419133.184897]: timestamp 1700612168.00 VDD_IN 8327mW/8174mW VDD_CPU_GPU_CV 3686mW/3635mW VDD_SOC 1351mW/1332mW
[INFO] [1700612169.572502, 1710419134.208182]: timestamp 1700612169.00 VDD_IN 8040mW/8171mW VDD_CPU_GPU_CV 3440mW/3631mW VDD_SOC 1351mW/1333mW
[INFO] [1700612170.595853, 1710419135.230188]: timestamp 1700612170.00 VDD_IN 8245mW/8172mW VDD_CPU_GPU_CV 3727mW/3633mW VDD_SOC 1351mW/1333mW
[INFO] [1700612171.614216, 1710419136.253993]: timestamp 1700612171.00 VDD_IN 8697mW/8184mW VDD_CPU_GPU_CV 4055mW/3642mW VDD_SOC 1392mW/1334mW
[INFO] [1700612172.632255, 1710419137.267056]: timestamp 1700612172.00 VDD_IN 8040mW/8181mW VDD_CPU_GPU_CV 3440mW/3638mW VDD_SOC 1351mW/1335mW
[INFO] [1700612173.780981, 1710419138.420786]: timestamp 1700612173.00 VDD_IN 8245mW/8182mW VDD_CPU_GPU_CV 3686mW/3639mW VDD_SOC 1310mW/1334mW
[INFO] [1700612174.788698, 1710419139.424533]: timestamp 1700612174.00 VDD_IN 8245mW/8183mW VDD_CPU_GPU_CV 3604mW/3638mW VDD_SOC 1351mW/1335mW
[INFO] [1700612175.796444, 1710419140.435727]: timestamp 1700612175.00 VDD_IN 8122mW/8182mW VDD_CPU_GPU_CV 3481mW/3635mW VDD_SOC 1351mW/1335mW
[INFO] [1700612176.804412, 1710419141.446522]: timestamp 1700612176.00 VDD_IN 8122mW/8181mW VDD_CPU_GPU_CV 3604mW/3634mW VDD_SOC 1351mW/1335mW
[INFO] [1700612177.811563, 1710419142.451321]: timestamp 1700612177.00 VDD_IN 8368mW/8184mW VDD_CPU_GPU_CV 3686mW/3635mW VDD_SOC 1392mW/1336mW
[INFO] [1700612178.817643, 1710419143.455839]: timestamp 1700612178.00 VDD_IN 8327mW/8187mW VDD_CPU_GPU_CV 3645mW/3635mW VDD_SOC 1392mW/1337mW
[INFO] [1700612179.826566, 1710419144.467469]: timestamp 1700612179.00 VDD_IN 8245mW/8188mW VDD_CPU_GPU_CV 3686mW/3636mW VDD_SOC 1351mW/1338mW
[INFO] [1700612180.833683, 1710419145.469084]: timestamp 1700612180.00 VDD_IN 8327mW/8191mW VDD_CPU_GPU_CV 3727mW/3638mW VDD_SOC 1392mW/1339mW
[INFO] [1700612181.840931, 1710419146.475155]: timestamp 1700612181.00 VDD_IN 8409mW/8195mW VDD_CPU_GPU_CV 3809mW/3641mW VDD_SOC 1351mW/1339mW
[INFO] [1700612182.849980, 1710419147.487121]: timestamp 1700612182.00 VDD_IN 8574mW/8201mW VDD_CPU_GPU_CV 4014mW/3647mW VDD_SOC 1351mW/1339mW
[INFO] [1700612183.856714, 1710419148.499472]: timestamp 1700612183.00 VDD_IN 8409mW/8205mW VDD_CPU_GPU_CV 3768mW/3649mW VDD_SOC 1392mW/1340mW
