[INFO] [1700614851.584975, 0.000000]: Start power_monitor
[INFO] [1700614852.841779, 1710419131.795593]: timestamp 1700614852.00 VDD_IN 8656mW/8656mW VDD_CPU_GPU_CV 4055mW/4055mW VDD_SOC 1310mW/1310mW
[INFO] [1700614853.850892, 1710419132.807975]: timestamp 1700614853.00 VDD_IN 8040mW/8348mW VDD_CPU_GPU_CV 3481mW/3768mW VDD_SOC 1351mW/1330mW
[INFO] [1700614854.868168, 1710419133.821105]: timestamp 1700614854.00 VDD_IN 7917mW/8204mW VDD_CPU_GPU_CV 3358mW/3631mW VDD_SOC 1351mW/1337mW
[INFO] [1700614855.887160, 1710419134.843158]: timestamp 1700614855.00 VDD_IN 8040mW/8163mW VDD_CPU_GPU_CV 3440mW/3583mW VDD_SOC 1351mW/1340mW
[INFO] [1700614856.910143, 1710419135.859380]: timestamp 1700614856.00 VDD_IN 7999mW/8130mW VDD_CPU_GPU_CV 3440mW/3554mW VDD_SOC 1310mW/1334mW
[INFO] [1700614857.930850, 1710419136.883126]: timestamp 1700614857.00 VDD_IN 7999mW/8108mW VDD_CPU_GPU_CV 3399mW/3528mW VDD_SOC 1351mW/1337mW
[INFO] [1700614858.958705, 1710419137.906221]: timestamp 1700614858.00 VDD_IN 8122mW/8110mW VDD_CPU_GPU_CV 3481mW/3522mW VDD_SOC 1351mW/1339mW
[INFO] [1700614859.975409, 1710419138.928287]: timestamp 1700614859.00 VDD_IN 7917mW/8086mW VDD_CPU_GPU_CV 3399mW/3506mW VDD_SOC 1310mW/1335mW
[INFO] [1700614860.993572, 1710419139.941414]: timestamp 1700614860.00 VDD_IN 8491mW/8131mW VDD_CPU_GPU_CV 3850mW/3544mW VDD_SOC 1351mW/1337mW
[INFO] [1700614862.008914, 1710419140.956873]: timestamp 1700614862.00 VDD_IN 7958mW/8113mW VDD_CPU_GPU_CV 3399mW/3530mW VDD_SOC 1351mW/1338mW
[INFO] [1700614863.027595, 1710419141.980325]: timestamp 1700614863.00 VDD_IN 8368mW/8137mW VDD_CPU_GPU_CV 3850mW/3559mW VDD_SOC 1310mW/1336mW
[INFO] [1700614864.046892, 1710419143.004182]: timestamp 1700614864.00 VDD_IN 7999mW/8125mW VDD_CPU_GPU_CV 3440mW/3549mW VDD_SOC 1351mW/1337mW
