[INFO] [1700607039.679259, 0.000000]: Start power_monitor
[INFO] [1700607041.385120, 1710419128.731302]: timestamp 1700607041.00 VDD_IN 9886mW/9886mW VDD_CPU_GPU_CV 4505mW/4505mW VDD_SOC 1638mW/1638mW
[INFO] [1700607042.394960, 1710419129.739920]: timestamp 1700607042.00 VDD_IN 6266mW/8076mW VDD_CPU_GPU_CV 1884mW/3194mW VDD_SOC 1267mW/1452mW
[INFO] [1700607043.403817, 1710419130.752357]: timestamp 1700607043.00 VDD_IN 9599mW/8583mW VDD_CPU_GPU_CV 4259mW/3549mW VDD_SOC 1638mW/1514mW
[INFO] [1700607044.412927, 1710419131.756092]: timestamp 1700607044.00 VDD_IN 7794mW/8386mW VDD_CPU_GPU_CV 2908mW/3389mW VDD_SOC 1433mW/1494mW
[INFO] [1700607045.420490, 1710419132.770820]: timestamp 1700607045.00 VDD_IN 9599mW/8628mW VDD_CPU_GPU_CV 4136mW/3538mW VDD_SOC 1638mW/1522mW
[INFO] [1700607046.431303, 1710419133.777461]: timestamp 1700607046.00 VDD_IN 8697mW/8640mW VDD_CPU_GPU_CV 3440mW/3522mW VDD_SOC 1597mW/1535mW
[INFO] [1700607047.438659, 1710419134.781195]: timestamp 1700607047.00 VDD_IN 9107mW/8706mW VDD_CPU_GPU_CV 3932mW/3580mW VDD_SOC 1556mW/1538mW
[INFO] [1700607048.586273, 1710419135.936662]: timestamp 1700607048.00 VDD_IN 10953mW/8987mW VDD_CPU_GPU_CV 5201mW/3783mW VDD_SOC 1761mW/1566mW
[INFO] [1700607049.594130, 1710419136.941550]: timestamp 1700607049.00 VDD_IN 10789mW/9187mW VDD_CPU_GPU_CV 4997mW/3918mW VDD_SOC 1761mW/1587mW
[INFO] [1700607050.607062, 1710419137.954624]: timestamp 1700607050.00 VDD_IN 10748mW/9343mW VDD_CPU_GPU_CV 4997mW/4025mW VDD_SOC 1761mW/1605mW
[INFO] [1700607051.618431, 1710419138.968606]: timestamp 1700607051.00 VDD_IN 6881mW/9119mW VDD_CPU_GPU_CV 2252mW/3864mW VDD_SOC 1349mW/1581mW
