[INFO] [1700610308.997132, 0.000000]: Start power_monitor
[INFO] [1700610310.596390, 1710419140.288421]: timestamp 1700610310.00 VDD_IN 10871mW/10871mW VDD_CPU_GPU_CV 5079mW/5079mW VDD_SOC 1761mW/1761mW
[INFO] [1700610311.610792, 1710419141.314788]: timestamp 1700610311.00 VDD_IN 10502mW/10686mW VDD_CPU_GPU_CV 4669mW/4874mW VDD_SOC 1802mW/1781mW
[INFO] [1700610312.619821, 1710419142.320292]: timestamp 1700610312.00 VDD_IN 10584mW/10652mW VDD_CPU_GPU_CV 4710mW/4819mW VDD_SOC 1802mW/1788mW
[INFO] [1700610313.629286, 1710419143.333164]: timestamp 1700610313.00 VDD_IN 10789mW/10686mW VDD_CPU_GPU_CV 4833mW/4822mW VDD_SOC 1843mW/1802mW
[INFO] [1700610314.637348, 1710419144.335807]: timestamp 1700610314.00 VDD_IN 10297mW/10608mW VDD_CPU_GPU_CV 4546mW/4767mW VDD_SOC 1761mW/1793mW
[INFO] [1700610315.645492, 1710419145.349520]: timestamp 1700610315.00 VDD_IN 10912mW/10659mW VDD_CPU_GPU_CV 4997mW/4805mW VDD_SOC 1843mW/1802mW
[INFO] [1700610316.672486, 1710419146.374331]: timestamp 1700610316.00 VDD_IN 10830mW/10683mW VDD_CPU_GPU_CV 4956mW/4827mW VDD_SOC 1802mW/1802mW
[INFO] [1700610317.679439, 1710419147.376739]: timestamp 1700610317.00 VDD_IN 10707mW/10686mW VDD_CPU_GPU_CV 4874mW/4833mW VDD_SOC 1802mW/1802mW
[INFO] [1700610318.687132, 1710419148.391375]: timestamp 1700610318.00 VDD_IN 10707mW/10688mW VDD_CPU_GPU_CV 4833mW/4833mW VDD_SOC 1802mW/1802mW
[INFO] [1700610319.694981, 1710419124.527534]: timestamp 1700610319.00 VDD_IN 10830mW/10702mW VDD_CPU_GPU_CV 4915mW/4841mW VDD_SOC 1843mW/1806mW
[INFO] [1700610320.705060, 1710419125.535899]: timestamp 1700610320.00 VDD_IN 10830mW/10714mW VDD_CPU_GPU_CV 4956mW/4851mW VDD_SOC 1802mW/1805mW
[INFO] [1700610321.712428, 1710419126.548428]: timestamp 1700610321.00 VDD_IN 11322mW/10765mW VDD_CPU_GPU_CV 5406mW/4897mW VDD_SOC 1843mW/1808mW
