[INFO] [1715866048.405376, 0.000000]: Start power_monitor
[INFO] [1715866049.651149, 0.000000]: timestamp 1715866049.00 VDD_IN 6389mW/6389mW VDD_CPU_GPU_CV 2170mW/2170mW VDD_SOC 1185mW/1185mW
[INFO] [1715866050.668205, 0.000000]: timestamp 1715866050.00 VDD_IN 7056mW/6722mW VDD_CPU_GPU_CV 2826mW/2498mW VDD_SOC 1187mW/1186mW
[INFO] [1715866051.678145, 0.000000]: timestamp 1715866051.00 VDD_IN 6389mW/6611mW VDD_CPU_GPU_CV 2170mW/2388mW VDD_SOC 1185mW/1185mW
[INFO] [1715866052.700195, 0.000000]: timestamp 1715866052.00 VDD_IN 6604mW/6609mW VDD_CPU_GPU_CV 2334mW/2375mW VDD_SOC 1187mW/1186mW
[INFO] [1715866053.720102, 0.000000]: timestamp 1715866053.00 VDD_IN 6522mW/6592mW VDD_CPU_GPU_CV 2293mW/2358mW VDD_SOC 1187mW/1186mW
[INFO] [1715866054.740416, 0.000000]: timestamp 1715866054.00 VDD_IN 6440mW/6566mW VDD_CPU_GPU_CV 2252mW/2340mW VDD_SOC 1187mW/1186mW
[INFO] [1715866055.759831, 0.000000]: timestamp 1715866055.00 VDD_IN 7056mW/6636mW VDD_CPU_GPU_CV 2826mW/2410mW VDD_SOC 1187mW/1186mW
[INFO] [1715866056.781978, 0.000000]: timestamp 1715866056.00 VDD_IN 6563mW/6627mW VDD_CPU_GPU_CV 2293mW/2395mW VDD_SOC 1187mW/1186mW
[INFO] [1715866057.800207, 0.000000]: timestamp 1715866057.00 VDD_IN 6686mW/6633mW VDD_CPU_GPU_CV 2416mW/2397mW VDD_SOC 1187mW/1186mW
[INFO] [1715866058.817796, 0.000000]: timestamp 1715866058.00 VDD_IN 6358mW/6606mW VDD_CPU_GPU_CV 2129mW/2370mW VDD_SOC 1187mW/1186mW
[INFO] [1715866059.839906, 0.000000]: timestamp 1715866059.00 VDD_IN 6440mW/6591mW VDD_CPU_GPU_CV 2211mW/2356mW VDD_SOC 1187mW/1186mW
[INFO] [1715866060.858425, 0.000000]: timestamp 1715866060.00 VDD_IN 6440mW/6578mW VDD_CPU_GPU_CV 2170mW/2340mW VDD_SOC 1187mW/1186mW
[INFO] [1715866061.886080, 0.000000]: timestamp 1715866061.00 VDD_IN 6358mW/6561mW VDD_CPU_GPU_CV 2129mW/2324mW VDD_SOC 1187mW/1186mW
[INFO] [1715866062.909270, 0.000000]: timestamp 1715866062.00 VDD_IN 6481mW/6555mW VDD_CPU_GPU_CV 2211mW/2316mW VDD_SOC 1187mW/1186mW
[INFO] [1715866063.931530, 0.000000]: timestamp 1715866063.00 VDD_IN 6522mW/6553mW VDD_CPU_GPU_CV 2252mW/2312mW VDD_SOC 1187mW/1186mW
[INFO] [1715866064.948879, 0.000000]: timestamp 1715866064.00 VDD_IN 6276mW/6536mW VDD_CPU_GPU_CV 2048mW/2295mW VDD_SOC 1187mW/1186mW
[INFO] [1715866065.968778, 0.000000]: timestamp 1715866065.00 VDD_IN 6317mW/6523mW VDD_CPU_GPU_CV 2088mW/2283mW VDD_SOC 1187mW/1186mW
[INFO] [1715866066.988805, 0.000000]: timestamp 1715866066.00 VDD_IN 6266mW/6509mW VDD_CPU_GPU_CV 2048mW/2270mW VDD_SOC 1185mW/1186mW
[INFO] [1715866068.009218, 0.000000]: timestamp 1715866068.00 VDD_IN 6358mW/6501mW VDD_CPU_GPU_CV 2170mW/2265mW VDD_SOC 1187mW/1186mW
[INFO] [1715866069.039143, 0.000000]: timestamp 1715866069.00 VDD_IN 6276mW/6489mW VDD_CPU_GPU_CV 2048mW/2254mW VDD_SOC 1187mW/1186mW
[INFO] [1715866070.057307, 0.000000]: timestamp 1715866070.00 VDD_IN 6317mW/6481mW VDD_CPU_GPU_CV 2088mW/2246mW VDD_SOC 1185mW/1186mW
