[INFO] [1715868632.646195, 0.000000]: Start power_monitor
[INFO] [1715868633.785055, 0.000000]: timestamp 1715868633.00 VDD_IN 6727mW/6727mW VDD_CPU_GPU_CV 2498mW/2498mW VDD_SOC 1187mW/1187mW
[INFO] [1715868634.796011, 0.000000]: timestamp 1715868634.00 VDD_IN 6522mW/6624mW VDD_CPU_GPU_CV 2293mW/2395mW VDD_SOC 1187mW/1187mW
[INFO] [1715868635.807348, 0.000000]: timestamp 1715868635.00 VDD_IN 6522mW/6590mW VDD_CPU_GPU_CV 2293mW/2361mW VDD_SOC 1185mW/1186mW
[INFO] [1715868636.825918, 0.000000]: timestamp 1715868636.00 VDD_IN 6522mW/6573mW VDD_CPU_GPU_CV 2293mW/2344mW VDD_SOC 1185mW/1186mW
[INFO] [1715868637.846205, 0.000000]: timestamp 1715868637.00 VDD_IN 6851mW/6628mW VDD_CPU_GPU_CV 2621mW/2399mW VDD_SOC 1187mW/1186mW
[INFO] [1715868638.866658, 0.000000]: timestamp 1715868638.00 VDD_IN 6553mW/6616mW VDD_CPU_GPU_CV 2334mW/2388mW VDD_SOC 1187mW/1186mW
[INFO] [1715868639.887202, 0.000000]: timestamp 1715868639.00 VDD_IN 6389mW/6583mW VDD_CPU_GPU_CV 2211mW/2363mW VDD_SOC 1145mW/1180mW
[INFO] [1715868640.905206, 0.000000]: timestamp 1715868640.00 VDD_IN 6440mW/6565mW VDD_CPU_GPU_CV 2293mW/2354mW VDD_SOC 1145mW/1176mW
[INFO] [1715868641.923621, 0.000000]: timestamp 1715868641.00 VDD_IN 6594mW/6568mW VDD_CPU_GPU_CV 2375mW/2356mW VDD_SOC 1185mW/1177mW
[INFO] [1715868642.943805, 0.000000]: timestamp 1715868642.00 VDD_IN 6399mW/6551mW VDD_CPU_GPU_CV 2211mW/2342mW VDD_SOC 1187mW/1178mW
[INFO] [1715868643.963160, 0.000000]: timestamp 1715868643.00 VDD_IN 6481mW/6545mW VDD_CPU_GPU_CV 2252mW/2334mW VDD_SOC 1185mW/1178mW
[INFO] [1715868644.989630, 0.000000]: timestamp 1715868644.00 VDD_IN 7343mW/6611mW VDD_CPU_GPU_CV 3072mW/2395mW VDD_SOC 1187mW/1179mW
[INFO] [1715868646.007516, 0.000000]: timestamp 1715868645.00 VDD_IN 6686mW/6617mW VDD_CPU_GPU_CV 2457mW/2400mW VDD_SOC 1187mW/1179mW
[INFO] [1715868647.028213, 0.000000]: timestamp 1715868647.00 VDD_IN 6604mW/6616mW VDD_CPU_GPU_CV 2375mW/2398mW VDD_SOC 1187mW/1180mW
[INFO] [1715868648.049266, 0.000000]: timestamp 1715868648.00 VDD_IN 6809mW/6629mW VDD_CPU_GPU_CV 2580mW/2410mW VDD_SOC 1187mW/1180mW
