[INFO] [1715869033.401821, 0.000000]: Start power_monitor
[INFO] [1715869034.552339, 0.000000]: timestamp 1715869034.00 VDD_IN 7548mW/7548mW VDD_CPU_GPU_CV 3194mW/3194mW VDD_SOC 1269mW/1269mW
[INFO] [1715869035.562337, 0.000000]: timestamp 1715869035.00 VDD_IN 7302mW/7425mW VDD_CPU_GPU_CV 2908mW/3051mW VDD_SOC 1267mW/1268mW
[INFO] [1715869036.575711, 0.000000]: timestamp 1715869036.00 VDD_IN 7179mW/7343mW VDD_CPU_GPU_CV 2785mW/2962mW VDD_SOC 1269mW/1268mW
[INFO] [1715869037.595195, 0.000000]: timestamp 1715869037.00 VDD_IN 7630mW/7414mW VDD_CPU_GPU_CV 3235mW/3030mW VDD_SOC 1269mW/1268mW
[INFO] [1715869038.613984, 0.000000]: timestamp 1715869038.00 VDD_IN 7261mW/7384mW VDD_CPU_GPU_CV 2744mW/2973mW VDD_SOC 1269mW/1268mW
[INFO] [1715869039.633936, 0.000000]: timestamp 1715869039.00 VDD_IN 7343mW/7377mW VDD_CPU_GPU_CV 2826mW/2948mW VDD_SOC 1269mW/1268mW
[INFO] [1715869040.652846, 0.000000]: timestamp 1715869040.00 VDD_IN 7261mW/7360mW VDD_CPU_GPU_CV 2867mW/2937mW VDD_SOC 1269mW/1268mW
[INFO] [1715869041.676463, 0.000000]: timestamp 1715869041.00 VDD_IN 7425mW/7368mW VDD_CPU_GPU_CV 2949mW/2938mW VDD_SOC 1269mW/1268mW
[INFO] [1715869042.698834, 0.000000]: timestamp 1715869042.00 VDD_IN 7220mW/7352mW VDD_CPU_GPU_CV 2785mW/2921mW VDD_SOC 1269mW/1268mW
[INFO] [1715869043.720878, 0.000000]: timestamp 1715869043.00 VDD_IN 7302mW/7347mW VDD_CPU_GPU_CV 2867mW/2916mW VDD_SOC 1269mW/1268mW
[INFO] [1715869044.742298, 0.000000]: timestamp 1715869044.00 VDD_IN 6892mW/7305mW VDD_CPU_GPU_CV 2539mW/2881mW VDD_SOC 1226mW/1264mW
[INFO] [1715869045.763003, 0.000000]: timestamp 1715869045.00 VDD_IN 6974mW/7278mW VDD_CPU_GPU_CV 2621mW/2860mW VDD_SOC 1228mW/1261mW
[INFO] [1715869046.783428, 0.000000]: timestamp 1715869046.00 VDD_IN 7138mW/7267mW VDD_CPU_GPU_CV 2703mW/2847mW VDD_SOC 1269mW/1262mW
[INFO] [1715869047.810110, 0.000000]: timestamp 1715869047.00 VDD_IN 7302mW/7269mW VDD_CPU_GPU_CV 2908mW/2852mW VDD_SOC 1269mW/1262mW
[INFO] [1715869048.830730, 0.000000]: timestamp 1715869048.00 VDD_IN 7015mW/7252mW VDD_CPU_GPU_CV 2662mW/2839mW VDD_SOC 1269mW/1263mW
[INFO] [1715869049.857453, 0.000000]: timestamp 1715869049.00 VDD_IN 6933mW/7232mW VDD_CPU_GPU_CV 2539mW/2820mW VDD_SOC 1228mW/1261mW
