[INFO] [1715871638.855688, 0.000000]: Start power_monitor
[INFO] [1715871639.993397, 0.000000]: timestamp 1715871639.00 VDD_IN 8902mW/8902mW VDD_CPU_GPU_CV 4177mW/4177mW VDD_SOC 1310mW/1310mW
[INFO] [1715871641.005561, 0.000000]: timestamp 1715871640.00 VDD_IN 8820mW/8861mW VDD_CPU_GPU_CV 4136mW/4156mW VDD_SOC 1310mW/1310mW
[INFO] [1715871642.022378, 0.000000]: timestamp 1715871642.00 VDD_IN 8368mW/8696mW VDD_CPU_GPU_CV 3768mW/4027mW VDD_SOC 1310mW/1310mW
[INFO] [1715871643.041133, 0.000000]: timestamp 1715871643.00 VDD_IN 8779mW/8717mW VDD_CPU_GPU_CV 4136mW/4054mW VDD_SOC 1310mW/1310mW
[INFO] [1715871644.060111, 0.000000]: timestamp 1715871644.00 VDD_IN 8491mW/8672mW VDD_CPU_GPU_CV 3932mW/4029mW VDD_SOC 1310mW/1310mW
[INFO] [1715871645.084553, 0.000000]: timestamp 1715871645.00 VDD_IN 8861mW/8703mW VDD_CPU_GPU_CV 4218mW/4061mW VDD_SOC 1310mW/1310mW
[INFO] [1715871646.108385, 0.000000]: timestamp 1715871646.00 VDD_IN 8861mW/8726mW VDD_CPU_GPU_CV 4096mW/4066mW VDD_SOC 1310mW/1310mW
[INFO] [1715871647.141330, 0.000000]: timestamp 1715871647.00 VDD_IN 8697mW/8722mW VDD_CPU_GPU_CV 4177mW/4080mW VDD_SOC 1310mW/1310mW
[INFO] [1715871648.161811, 0.000000]: timestamp 1715871648.00 VDD_IN 8779mW/8728mW VDD_CPU_GPU_CV 4218mW/4095mW VDD_SOC 1310mW/1310mW
[INFO] [1715871649.182089, 0.000000]: timestamp 1715871649.00 VDD_IN 8738mW/8729mW VDD_CPU_GPU_CV 4096mW/4095mW VDD_SOC 1310mW/1310mW
[INFO] [1715871650.205218, 0.000000]: timestamp 1715871650.00 VDD_IN 8697mW/8726mW VDD_CPU_GPU_CV 4096mW/4095mW VDD_SOC 1310mW/1310mW
[INFO] [1715871651.329687, 0.000000]: timestamp 1715871651.00 VDD_IN 8738mW/8727mW VDD_CPU_GPU_CV 4136mW/4098mW VDD_SOC 1310mW/1310mW
[INFO] [1715871652.352978, 0.000000]: timestamp 1715871652.00 VDD_IN 8409mW/8703mW VDD_CPU_GPU_CV 3932mW/4086mW VDD_SOC 1269mW/1306mW
[INFO] [1715871653.371775, 0.000000]: timestamp 1715871653.00 VDD_IN 8861mW/8714mW VDD_CPU_GPU_CV 4096mW/4086mW VDD_SOC 1351mW/1310mW
[INFO] [1715871654.400768, 0.000000]: timestamp 1715871654.00 VDD_IN 8943mW/8729mW VDD_CPU_GPU_CV 4177mW/4092mW VDD_SOC 1351mW/1312mW
[INFO] [1715871655.425349, 0.000000]: timestamp 1715871655.00 VDD_IN 8779mW/8732mW VDD_CPU_GPU_CV 4096mW/4092mW VDD_SOC 1351mW/1315mW
[INFO] [1715871656.456702, 0.000000]: timestamp 1715871656.00 VDD_IN 8656mW/8728mW VDD_CPU_GPU_CV 4096mW/4093mW VDD_SOC 1351mW/1317mW
[INFO] [1715871657.479702, 0.000000]: timestamp 1715871657.00 VDD_IN 9025mW/8744mW VDD_CPU_GPU_CV 4464mW/4113mW VDD_SOC 1310mW/1316mW
[INFO] [1715871658.500503, 0.000000]: timestamp 1715871658.00 VDD_IN 8779mW/8746mW VDD_CPU_GPU_CV 4096mW/4112mW VDD_SOC 1351mW/1318mW
[INFO] [1715871659.522051, 0.000000]: timestamp 1715871659.00 VDD_IN 8738mW/8746mW VDD_CPU_GPU_CV 4136mW/4113mW VDD_SOC 1351mW/1320mW
[INFO] [1715871660.544493, 0.000000]: timestamp 1715871660.00 VDD_IN 8902mW/8753mW VDD_CPU_GPU_CV 4218mW/4118mW VDD_SOC 1351mW/1321mW
[INFO] [1715871661.565722, 0.000000]: timestamp 1715871661.00 VDD_IN 8738mW/8752mW VDD_CPU_GPU_CV 4055mW/4116mW VDD_SOC 1351mW/1323mW
[INFO] [1715871662.584410, 0.000000]: timestamp 1715871662.00 VDD_IN 8779mW/8753mW VDD_CPU_GPU_CV 4096mW/4115mW VDD_SOC 1351mW/1324mW
[INFO] [1715871663.605830, 0.000000]: timestamp 1715871663.00 VDD_IN 9312mW/8777mW VDD_CPU_GPU_CV 4587mW/4134mW VDD_SOC 1351mW/1325mW
[INFO] [1715871664.627107, 0.000000]: timestamp 1715871664.00 VDD_IN 8779mW/8777mW VDD_CPU_GPU_CV 4177mW/4136mW VDD_SOC 1351mW/1326mW
[INFO] [1715871665.645404, 0.000000]: timestamp 1715871665.00 VDD_IN 8861mW/8780mW VDD_CPU_GPU_CV 4177mW/4138mW VDD_SOC 1351mW/1327mW
[INFO] [1715871666.663750, 0.000000]: timestamp 1715871666.00 VDD_IN 8697mW/8777mW VDD_CPU_GPU_CV 4055mW/4134mW VDD_SOC 1351mW/1328mW
[INFO] [1715871667.684686, 0.000000]: timestamp 1715871667.00 VDD_IN 9312mW/8796mW VDD_CPU_GPU_CV 4628mW/4152mW VDD_SOC 1351mW/1329mW
[INFO] [1715871668.703699, 0.000000]: timestamp 1715871668.00 VDD_IN 8697mW/8793mW VDD_CPU_GPU_CV 3973mW/4146mW VDD_SOC 1351mW/1329mW
[INFO] [1715871669.731679, 0.000000]: timestamp 1715871669.00 VDD_IN 8902mW/8796mW VDD_CPU_GPU_CV 4177mW/4147mW VDD_SOC 1351mW/1330mW
[INFO] [1715871670.750494, 0.000000]: timestamp 1715871670.00 VDD_IN 8779mW/8796mW VDD_CPU_GPU_CV 4136mW/4147mW VDD_SOC 1351mW/1331mW
[INFO] [1715871671.771477, 0.000000]: timestamp 1715871671.00 VDD_IN 8738mW/8794mW VDD_CPU_GPU_CV 4096mW/4145mW VDD_SOC 1351mW/1331mW
[INFO] [1715871672.790655, 0.000000]: timestamp 1715871672.00 VDD_IN 8779mW/8793mW VDD_CPU_GPU_CV 4096mW/4143mW VDD_SOC 1351mW/1332mW
[INFO] [1715871673.811795, 0.000000]: timestamp 1715871673.00 VDD_IN 8820mW/8794mW VDD_CPU_GPU_CV 4136mW/4143mW VDD_SOC 1351mW/1332mW
[INFO] [1715871674.831434, 0.000000]: timestamp 1715871674.00 VDD_IN 8779mW/8794mW VDD_CPU_GPU_CV 4096mW/4142mW VDD_SOC 1351mW/1333mW
[INFO] [1715871675.850216, 0.000000]: timestamp 1715871675.00 VDD_IN 8820mW/8794mW VDD_CPU_GPU_CV 4177mW/4143mW VDD_SOC 1351mW/1333mW
[INFO] [1715871676.869527, 0.000000]: timestamp 1715871676.00 VDD_IN 8820mW/8795mW VDD_CPU_GPU_CV 4218mW/4145mW VDD_SOC 1351mW/1334mW
[INFO] [1715871677.964375, 0.000000]: timestamp 1715871677.00 VDD_IN 9025mW/8801mW VDD_CPU_GPU_CV 4423mW/4152mW VDD_SOC 1351mW/1334mW
[INFO] [1715871678.982205, 0.000000]: timestamp 1715871678.00 VDD_IN 9025mW/8807mW VDD_CPU_GPU_CV 4218mW/4154mW VDD_SOC 1351mW/1335mW
[INFO] [1715871680.000208, 0.000000]: timestamp 1715871679.00 VDD_IN 8861mW/8808mW VDD_CPU_GPU_CV 4341mW/4158mW VDD_SOC 1392mW/1336mW
[INFO] [1715871681.023332, 0.000000]: timestamp 1715871681.00 VDD_IN 8697mW/8805mW VDD_CPU_GPU_CV 4096mW/4157mW VDD_SOC 1351mW/1337mW
[INFO] [1715871682.047221, 0.000000]: timestamp 1715871682.00 VDD_IN 8820mW/8806mW VDD_CPU_GPU_CV 4218mW/4158mW VDD_SOC 1351mW/1337mW
[INFO] [1715871683.065927, 0.000000]: timestamp 1715871683.00 VDD_IN 8820mW/8806mW VDD_CPU_GPU_CV 4096mW/4157mW VDD_SOC 1351mW/1337mW
[INFO] [1715871684.083402, 0.000000]: timestamp 1715871684.00 VDD_IN 8984mW/8810mW VDD_CPU_GPU_CV 4177mW/4157mW VDD_SOC 1351mW/1337mW
[INFO] [1715871685.103512, 0.000000]: timestamp 1715871685.00 VDD_IN 8902mW/8812mW VDD_CPU_GPU_CV 4136mW/4157mW VDD_SOC 1351mW/1338mW
[INFO] [1715871686.209127, 0.000000]: timestamp 1715871686.00 VDD_IN 8902mW/8814mW VDD_CPU_GPU_CV 4177mW/4157mW VDD_SOC 1351mW/1338mW
[INFO] [1715871687.236951, 0.000000]: timestamp 1715871687.00 VDD_IN 8738mW/8812mW VDD_CPU_GPU_CV 4136mW/4157mW VDD_SOC 1351mW/1338mW
[INFO] [1715871688.272069, 0.000000]: timestamp 1715871688.00 VDD_IN 8861mW/8813mW VDD_CPU_GPU_CV 4218mW/4158mW VDD_SOC 1351mW/1339mW
[INFO] [1715871689.280132, 0.000000]: timestamp 1715871689.00 VDD_IN 8779mW/8813mW VDD_CPU_GPU_CV 4218mW/4159mW VDD_SOC 1351mW/1339mW
[INFO] [1715871690.297284, 0.000000]: timestamp 1715871690.00 VDD_IN 8943mW/8815mW VDD_CPU_GPU_CV 4341mW/4163mW VDD_SOC 1351mW/1339mW
[INFO] [1715871691.323402, 0.000000]: timestamp 1715871691.00 VDD_IN 9025mW/8819mW VDD_CPU_GPU_CV 4177mW/4163mW VDD_SOC 1392mW/1340mW
