[INFO] [1715877183.648442, 0.000000]: Start power_monitor
[INFO] [1715877184.848238, 0.000000]: timestamp 1715877184.00 VDD_IN 10132mW/10132mW VDD_CPU_GPU_CV 5079mW/5079mW VDD_SOC 1515mW/1515mW
[INFO] [1715877185.857608, 0.000000]: timestamp 1715877185.00 VDD_IN 6225mW/8178mW VDD_CPU_GPU_CV 2007mW/3543mW VDD_SOC 1185mW/1350mW
[INFO] [1715877186.869373, 0.000000]: timestamp 1715877186.00 VDD_IN 5775mW/7377mW VDD_CPU_GPU_CV 1679mW/2921mW VDD_SOC 1145mW/1281mW
[INFO] [1715877187.887831, 0.000000]: timestamp 1715877187.00 VDD_IN 5570mW/6925mW VDD_CPU_GPU_CV 1515mW/2570mW VDD_SOC 1145mW/1247mW
[INFO] [1715877188.905213, 0.000000]: timestamp 1715877188.00 VDD_IN 5652mW/6670mW VDD_CPU_GPU_CV 1597mW/2375mW VDD_SOC 1145mW/1227mW
[INFO] [1715877189.923566, 0.000000]: timestamp 1715877189.00 VDD_IN 5529mW/6480mW VDD_CPU_GPU_CV 1515mW/2232mW VDD_SOC 1145mW/1213mW
[INFO] [1715877190.957817, 0.000000]: timestamp 1715877190.00 VDD_IN 5816mW/6385mW VDD_CPU_GPU_CV 1761mW/2164mW VDD_SOC 1145mW/1203mW
[INFO] [1715877191.994688, 0.000000]: timestamp 1715877191.00 VDD_IN 5734mW/6304mW VDD_CPU_GPU_CV 1638mW/2098mW VDD_SOC 1145mW/1196mW
[INFO] [1715877193.023744, 0.000000]: timestamp 1715877193.00 VDD_IN 6062mW/6277mW VDD_CPU_GPU_CV 1966mW/2084mW VDD_SOC 1145mW/1190mW
[INFO] [1715877194.053432, 0.000000]: timestamp 1715877194.00 VDD_IN 5939mW/6243mW VDD_CPU_GPU_CV 1843mW/2060mW VDD_SOC 1145mW/1186mW
[INFO] [1715877195.071830, 0.000000]: timestamp 1715877195.00 VDD_IN 5939mW/6215mW VDD_CPU_GPU_CV 1843mW/2040mW VDD_SOC 1145mW/1182mW
[INFO] [1715877196.090233, 0.000000]: timestamp 1715877196.00 VDD_IN 5529mW/6158mW VDD_CPU_GPU_CV 1474mW/1993mW VDD_SOC 1104mW/1175mW
[INFO] [1715877197.109008, 0.000000]: timestamp 1715877197.00 VDD_IN 5529mW/6110mW VDD_CPU_GPU_CV 1474mW/1953mW VDD_SOC 1104mW/1170mW
[INFO] [1715877198.127416, 0.000000]: timestamp 1715877198.00 VDD_IN 5529mW/6068mW VDD_CPU_GPU_CV 1515mW/1921mW VDD_SOC 1145mW/1168mW
[INFO] [1715877199.145021, 0.000000]: timestamp 1715877199.00 VDD_IN 5529mW/6032mW VDD_CPU_GPU_CV 1474mW/1892mW VDD_SOC 1104mW/1164mW
[INFO] [1715877200.162913, 0.000000]: timestamp 1715877200.00 VDD_IN 5570mW/6003mW VDD_CPU_GPU_CV 1474mW/1865mW VDD_SOC 1145mW/1162mW
[INFO] [1715877201.181451, 0.000000]: timestamp 1715877201.00 VDD_IN 5529mW/5975mW VDD_CPU_GPU_CV 1474mW/1842mW VDD_SOC 1104mW/1159mW
[INFO] [1715877202.202290, 0.000000]: timestamp 1715877202.00 VDD_IN 5611mW/5955mW VDD_CPU_GPU_CV 1515mW/1824mW VDD_SOC 1145mW/1158mW
[INFO] [1715877203.221590, 0.000000]: timestamp 1715877203.00 VDD_IN 5652mW/5939mW VDD_CPU_GPU_CV 1597mW/1812mW VDD_SOC 1104mW/1155mW
[INFO] [1715877204.242866, 0.000000]: timestamp 1715877204.00 VDD_IN 5652mW/5925mW VDD_CPU_GPU_CV 1556mW/1799mW VDD_SOC 1145mW/1155mW
[INFO] [1715877205.260643, 0.000000]: timestamp 1715877205.00 VDD_IN 5693mW/5914mW VDD_CPU_GPU_CV 1638mW/1792mW VDD_SOC 1145mW/1154mW
[INFO] [1715877206.283772, 0.000000]: timestamp 1715877206.00 VDD_IN 5570mW/5898mW VDD_CPU_GPU_CV 1474mW/1777mW VDD_SOC 1104mW/1152mW
[INFO] [1715877207.309730, 0.000000]: timestamp 1715877207.00 VDD_IN 5529mW/5882mW VDD_CPU_GPU_CV 1433mW/1762mW VDD_SOC 1104mW/1150mW
[INFO] [1715877208.340045, 0.000000]: timestamp 1715877208.00 VDD_IN 6103mW/5891mW VDD_CPU_GPU_CV 2007mW/1772mW VDD_SOC 1145mW/1150mW
[INFO] [1715877209.359345, 0.000000]: timestamp 1715877209.00 VDD_IN 5570mW/5878mW VDD_CPU_GPU_CV 1515mW/1762mW VDD_SOC 1104mW/1148mW
