[INFO] [1715879833.529160, 0.000000]: Start power_monitor
[INFO] [1715879834.672046, 0.000000]: timestamp 1715879834.00 VDD_IN 10994mW/10994mW VDD_CPU_GPU_CV 5529mW/5529mW VDD_SOC 1638mW/1638mW
[INFO] [1715879835.687174, 0.000000]: timestamp 1715879835.00 VDD_IN 10994mW/10994mW VDD_CPU_GPU_CV 5488mW/5508mW VDD_SOC 1638mW/1638mW
[INFO] [1715879836.697941, 0.000000]: timestamp 1715879836.00 VDD_IN 10871mW/10953mW VDD_CPU_GPU_CV 5365mW/5460mW VDD_SOC 1638mW/1638mW
[INFO] [1715879837.726064, 0.000000]: timestamp 1715879837.00 VDD_IN 11076mW/10983mW VDD_CPU_GPU_CV 5570mW/5488mW VDD_SOC 1679mW/1648mW
[INFO] [1715879838.748821, 0.000000]: timestamp 1715879838.00 VDD_IN 11281mW/11043mW VDD_CPU_GPU_CV 5611mW/5512mW VDD_SOC 1679mW/1654mW
[INFO] [1715879839.767660, 0.000000]: timestamp 1715879839.00 VDD_IN 10994mW/11035mW VDD_CPU_GPU_CV 5447mW/5501mW VDD_SOC 1638mW/1651mW
[INFO] [1715879840.792915, 0.000000]: timestamp 1715879840.00 VDD_IN 11158mW/11052mW VDD_CPU_GPU_CV 5570mW/5511mW VDD_SOC 1679mW/1655mW
[INFO] [1715879841.817411, 0.000000]: timestamp 1715879841.00 VDD_IN 10830mW/11024mW VDD_CPU_GPU_CV 5324mW/5488mW VDD_SOC 1638mW/1653mW
[INFO] [1715879842.838825, 0.000000]: timestamp 1715879842.00 VDD_IN 10871mW/11007mW VDD_CPU_GPU_CV 5406mW/5478mW VDD_SOC 1638mW/1651mW
[INFO] [1715879843.857342, 0.000000]: timestamp 1715879843.00 VDD_IN 11158mW/11022mW VDD_CPU_GPU_CV 5611mW/5492mW VDD_SOC 1679mW/1654mW
[INFO] [1715879844.875998, 0.000000]: timestamp 1715879844.00 VDD_IN 10666mW/10990mW VDD_CPU_GPU_CV 5242mW/5469mW VDD_SOC 1638mW/1652mW
[INFO] [1715879845.896445, 0.000000]: timestamp 1715879845.00 VDD_IN 11322mW/11017mW VDD_CPU_GPU_CV 5857mW/5501mW VDD_SOC 1679mW/1655mW
[INFO] [1715879846.918037, 0.000000]: timestamp 1715879846.00 VDD_IN 11199mW/11031mW VDD_CPU_GPU_CV 5611mW/5510mW VDD_SOC 1679mW/1656mW
[INFO] [1715879847.937915, 0.000000]: timestamp 1715879847.00 VDD_IN 11322mW/11052mW VDD_CPU_GPU_CV 5734mW/5526mW VDD_SOC 1679mW/1658mW
[INFO] [1715879848.956857, 0.000000]: timestamp 1715879848.00 VDD_IN 11240mW/11065mW VDD_CPU_GPU_CV 5652mW/5534mW VDD_SOC 1679mW/1659mW
[INFO] [1715879849.975229, 0.000000]: timestamp 1715879849.00 VDD_IN 11281mW/11078mW VDD_CPU_GPU_CV 5570mW/5536mW VDD_SOC 1679mW/1661mW
[INFO] [1715879850.997745, 0.000000]: timestamp 1715879850.00 VDD_IN 11240mW/11088mW VDD_CPU_GPU_CV 5652mW/5543mW VDD_SOC 1679mW/1662mW
[INFO] [1715879852.021016, 0.000000]: timestamp 1715879852.00 VDD_IN 11240mW/11096mW VDD_CPU_GPU_CV 5693mW/5551mW VDD_SOC 1679mW/1663mW
[INFO] [1715879853.043755, 0.000000]: timestamp 1715879853.00 VDD_IN 11363mW/11110mW VDD_CPU_GPU_CV 5734mW/5561mW VDD_SOC 1679mW/1663mW
[INFO] [1715879854.064786, 0.000000]: timestamp 1715879854.00 VDD_IN 11281mW/11119mW VDD_CPU_GPU_CV 5652mW/5565mW VDD_SOC 1679mW/1664mW
[INFO] [1715879855.085134, 0.000000]: timestamp 1715879855.00 VDD_IN 11240mW/11124mW VDD_CPU_GPU_CV 5652mW/5570mW VDD_SOC 1679mW/1665mW
[INFO] [1715879856.104782, 0.000000]: timestamp 1715879856.00 VDD_IN 11281mW/11131mW VDD_CPU_GPU_CV 5652mW/5573mW VDD_SOC 1679mW/1665mW
[INFO] [1715879857.126948, 0.000000]: timestamp 1715879857.00 VDD_IN 11199mW/11134mW VDD_CPU_GPU_CV 5611mW/5575mW VDD_SOC 1679mW/1666mW
[INFO] [1715879858.145691, 0.000000]: timestamp 1715879858.00 VDD_IN 11363mW/11144mW VDD_CPU_GPU_CV 5775mW/5583mW VDD_SOC 1679mW/1667mW
[INFO] [1715879859.165105, 0.000000]: timestamp 1715879859.00 VDD_IN 11199mW/11146mW VDD_CPU_GPU_CV 5652mW/5586mW VDD_SOC 1679mW/1667mW
[INFO] [1715879860.189778, 0.000000]: timestamp 1715879860.00 VDD_IN 11199mW/11148mW VDD_CPU_GPU_CV 5570mW/5585mW VDD_SOC 1679mW/1667mW
[INFO] [1715879861.216079, 0.000000]: timestamp 1715879861.00 VDD_IN 11322mW/11154mW VDD_CPU_GPU_CV 5693mW/5589mW VDD_SOC 1679mW/1668mW
[INFO] [1715879862.231492, 0.000000]: timestamp 1715879862.00 VDD_IN 11404mW/11163mW VDD_CPU_GPU_CV 5734mW/5594mW VDD_SOC 1720mW/1670mW
[INFO] [1715879863.259951, 0.000000]: timestamp 1715879863.00 VDD_IN 11117mW/11162mW VDD_CPU_GPU_CV 5529mW/5592mW VDD_SOC 1679mW/1670mW
[INFO] [1715879864.278371, 0.000000]: timestamp 1715879864.00 VDD_IN 11117mW/11160mW VDD_CPU_GPU_CV 5570mW/5591mW VDD_SOC 1679mW/1670mW
[INFO] [1715879865.297965, 0.000000]: timestamp 1715879865.00 VDD_IN 11199mW/11161mW VDD_CPU_GPU_CV 5570mW/5591mW VDD_SOC 1679mW/1671mW
[INFO] [1715879866.323216, 0.000000]: timestamp 1715879866.00 VDD_IN 10994mW/11156mW VDD_CPU_GPU_CV 5488mW/5587mW VDD_SOC 1679mW/1671mW
[INFO] [1715879867.346277, 0.000000]: timestamp 1715879867.00 VDD_IN 11199mW/11158mW VDD_CPU_GPU_CV 5570mW/5587mW VDD_SOC 1679mW/1671mW
[INFO] [1715879868.366642, 0.000000]: timestamp 1715879868.00 VDD_IN 11076mW/11155mW VDD_CPU_GPU_CV 5488mW/5584mW VDD_SOC 1679mW/1671mW
[INFO] [1715879869.387199, 0.000000]: timestamp 1715879869.00 VDD_IN 11117mW/11154mW VDD_CPU_GPU_CV 5611mW/5585mW VDD_SOC 1679mW/1671mW
[INFO] [1715879870.411499, 0.000000]: timestamp 1715879870.00 VDD_IN 11240mW/11156mW VDD_CPU_GPU_CV 5693mW/5588mW VDD_SOC 1679mW/1672mW
[INFO] [1715879871.429660, 0.000000]: timestamp 1715879871.00 VDD_IN 11404mW/11163mW VDD_CPU_GPU_CV 5693mW/5591mW VDD_SOC 1720mW/1673mW
[INFO] [1715879872.449833, 0.000000]: timestamp 1715879872.00 VDD_IN 11322mW/11167mW VDD_CPU_GPU_CV 5652mW/5592mW VDD_SOC 1679mW/1673mW
[INFO] [1715879873.477927, 0.000000]: timestamp 1715879873.00 VDD_IN 11404mW/11173mW VDD_CPU_GPU_CV 5734mW/5596mW VDD_SOC 1720mW/1674mW
[INFO] [1715879874.501220, 0.000000]: timestamp 1715879874.00 VDD_IN 10132mW/11147mW VDD_CPU_GPU_CV 4792mW/5576mW VDD_SOC 1597mW/1672mW
[INFO] [1715879875.520521, 0.000000]: timestamp 1715879875.00 VDD_IN 11117mW/11146mW VDD_CPU_GPU_CV 5611mW/5577mW VDD_SOC 1679mW/1673mW
[INFO] [1715879876.542370, 0.000000]: timestamp 1715879876.00 VDD_IN 11117mW/11146mW VDD_CPU_GPU_CV 5611mW/5577mW VDD_SOC 1679mW/1673mW
[INFO] [1715879877.561375, 0.000000]: timestamp 1715879877.00 VDD_IN 10871mW/11139mW VDD_CPU_GPU_CV 5365mW/5572mW VDD_SOC 1638mW/1672mW
[INFO] [1715879878.582720, 0.000000]: timestamp 1715879878.00 VDD_IN 11076mW/11138mW VDD_CPU_GPU_CV 5570mW/5572mW VDD_SOC 1679mW/1672mW
[INFO] [1715879879.606951, 0.000000]: timestamp 1715879879.00 VDD_IN 10338mW/11120mW VDD_CPU_GPU_CV 4997mW/5560mW VDD_SOC 1638mW/1671mW
[INFO] [1715879880.629711, 0.000000]: timestamp 1715879880.00 VDD_IN 11199mW/11122mW VDD_CPU_GPU_CV 5693mW/5562mW VDD_SOC 1679mW/1671mW
[INFO] [1715879881.660231, 0.000000]: timestamp 1715879881.00 VDD_IN 11363mW/11127mW VDD_CPU_GPU_CV 5693mW/5565mW VDD_SOC 1720mW/1672mW
[INFO] [1715879882.682254, 0.000000]: timestamp 1715879882.00 VDD_IN 11486mW/11134mW VDD_CPU_GPU_CV 5857mW/5571mW VDD_SOC 1720mW/1673mW
[INFO] [1715879883.701911, 0.000000]: timestamp 1715879883.00 VDD_IN 11076mW/11133mW VDD_CPU_GPU_CV 5570mW/5571mW VDD_SOC 1679mW/1673mW
