[INFO] [1700614173.264807, 0.000000]: Start power_monitor
[INFO] [1700614174.382777, 1710419124.752977]: timestamp 1700614174.00 VDD_IN 6768mW/6768mW VDD_CPU_GPU_CV 2498mW/2498mW VDD_SOC 1228mW/1228mW
[INFO] [1700614175.392494, 1710419125.767405]: timestamp 1700614175.00 VDD_IN 5365mW/6066mW VDD_CPU_GPU_CV 1310mW/1904mW VDD_SOC 1145mW/1186mW
[INFO] [1700614176.408101, 1710419126.779629]: timestamp 1700614176.00 VDD_IN 8081mW/6738mW VDD_CPU_GPU_CV 3522mW/2443mW VDD_SOC 1310mW/1227mW
[INFO] [1700614177.428602, 1710419127.802408]: timestamp 1700614177.00 VDD_IN 8245mW/7114mW VDD_CPU_GPU_CV 3645mW/2743mW VDD_SOC 1351mW/1258mW
[INFO] [1700614178.447729, 1710419128.823552]: timestamp 1700614178.00 VDD_IN 8204mW/7332mW VDD_CPU_GPU_CV 3686mW/2932mW VDD_SOC 1351mW/1277mW
[INFO] [1700614179.465014, 1710419129.836507]: timestamp 1700614179.00 VDD_IN 8861mW/7587mW VDD_CPU_GPU_CV 4300mW/3160mW VDD_SOC 1351mW/1289mW
[INFO] [1700614180.485091, 1710419130.858695]: timestamp 1700614180.00 VDD_IN 8204mW/7675mW VDD_CPU_GPU_CV 3727mW/3241mW VDD_SOC 1310mW/1292mW
[INFO] [1700614181.503871, 1710419131.881360]: timestamp 1700614181.00 VDD_IN 8943mW/7833mW VDD_CPU_GPU_CV 4341mW/3378mW VDD_SOC 1351mW/1299mW
[INFO] [1700614182.523586, 1710419132.893867]: timestamp 1700614182.00 VDD_IN 7958mW/7847mW VDD_CPU_GPU_CV 3399mW/3380mW VDD_SOC 1351mW/1305mW
[INFO] [1700614183.545012, 1710419133.915579]: timestamp 1700614183.00 VDD_IN 8163mW/7879mW VDD_CPU_GPU_CV 3686mW/3411mW VDD_SOC 1310mW/1305mW
[INFO] [1700614184.565431, 1710419134.936964]: timestamp 1700614184.00 VDD_IN 8245mW/7912mW VDD_CPU_GPU_CV 3686mW/3436mW VDD_SOC 1351mW/1309mW
[INFO] [1700614185.585244, 1710419135.961908]: timestamp 1700614185.00 VDD_IN 7999mW/7919mW VDD_CPU_GPU_CV 3399mW/3433mW VDD_SOC 1351mW/1313mW
[INFO] [1700614186.603836, 1710419136.973829]: timestamp 1700614186.00 VDD_IN 8040mW/7928mW VDD_CPU_GPU_CV 3563mW/3443mW VDD_SOC 1310mW/1313mW
[INFO] [1700614187.625197, 1710419137.997755]: timestamp 1700614187.00 VDD_IN 8204mW/7948mW VDD_CPU_GPU_CV 3604mW/3454mW VDD_SOC 1351mW/1315mW
[INFO] [1700614188.647246, 1710419139.019675]: timestamp 1700614188.00 VDD_IN 8409mW/7979mW VDD_CPU_GPU_CV 3768mW/3475mW VDD_SOC 1392mW/1320mW
[INFO] [1700614189.667646, 1710419140.041481]: timestamp 1700614189.00 VDD_IN 8286mW/7998mW VDD_CPU_GPU_CV 3727mW/3491mW VDD_SOC 1351mW/1322mW
[INFO] [1700614190.687630, 1710419141.065034]: timestamp 1700614190.00 VDD_IN 8450mW/8025mW VDD_CPU_GPU_CV 3768mW/3507mW VDD_SOC 1392mW/1326mW
[INFO] [1700614191.708040, 1710419142.081613]: timestamp 1700614191.00 VDD_IN 8861mW/8071mW VDD_CPU_GPU_CV 4177mW/3544mW VDD_SOC 1392mW/1330mW
[INFO] [1700614192.727526, 1710419143.107043]: timestamp 1700614192.00 VDD_IN 8409mW/8089mW VDD_CPU_GPU_CV 3850mW/3560mW VDD_SOC 1351mW/1331mW
[INFO] [1700614193.747807, 1710419144.118929]: timestamp 1700614193.00 VDD_IN 8204mW/8094mW VDD_CPU_GPU_CV 3563mW/3560mW VDD_SOC 1351mW/1332mW
[INFO] [1700614194.768029, 1710419145.140551]: timestamp 1700614194.00 VDD_IN 8368mW/8107mW VDD_CPU_GPU_CV 3727mW/3568mW VDD_SOC 1392mW/1335mW
[INFO] [1700614195.788254, 1710419146.164105]: timestamp 1700614195.00 VDD_IN 8327mW/8117mW VDD_CPU_GPU_CV 3768mW/3577mW VDD_SOC 1351mW/1336mW
[INFO] [1700614196.808904, 1710419147.185523]: timestamp 1700614196.00 VDD_IN 8368mW/8128mW VDD_CPU_GPU_CV 3768mW/3586mW VDD_SOC 1351mW/1336mW
[INFO] [1700614197.829340, 1710419148.199179]: timestamp 1700614197.00 VDD_IN 8122mW/8128mW VDD_CPU_GPU_CV 3563mW/3585mW VDD_SOC 1351mW/1337mW
[INFO] [1700614198.848733, 1710419124.360659]: timestamp 1700614198.00 VDD_IN 8204mW/8131mW VDD_CPU_GPU_CV 3686mW/3589mW VDD_SOC 1351mW/1337mW
[INFO] [1700614199.865061, 1710419125.373938]: timestamp 1700614199.00 VDD_IN 8081mW/8129mW VDD_CPU_GPU_CV 3522mW/3586mW VDD_SOC 1351mW/1338mW
[INFO] [1700614200.883713, 1710419126.387759]: timestamp 1700614200.00 VDD_IN 8327mW/8136mW VDD_CPU_GPU_CV 3768mW/3593mW VDD_SOC 1310mW/1337mW
[INFO] [1700614201.902604, 1710419127.413090]: timestamp 1700614201.00 VDD_IN 8574mW/8152mW VDD_CPU_GPU_CV 3973mW/3606mW VDD_SOC 1351mW/1337mW
[INFO] [1700614202.917971, 1710419128.427386]: timestamp 1700614202.00 VDD_IN 8081mW/8150mW VDD_CPU_GPU_CV 3481mW/3602mW VDD_SOC 1351mW/1338mW
[INFO] [1700614203.937088, 1710419129.441688]: timestamp 1700614203.00 VDD_IN 8122mW/8149mW VDD_CPU_GPU_CV 3645mW/3604mW VDD_SOC 1310mW/1337mW
[INFO] [1700614204.956753, 1710419130.467394]: timestamp 1700614204.00 VDD_IN 8286mW/8153mW VDD_CPU_GPU_CV 3686mW/3606mW VDD_SOC 1351mW/1337mW
[INFO] [1700614205.971543, 1710419131.480629]: timestamp 1700614205.00 VDD_IN 8286mW/8157mW VDD_CPU_GPU_CV 3645mW/3607mW VDD_SOC 1351mW/1338mW
[INFO] [1700614206.991090, 1710419132.493917]: timestamp 1700614206.00 VDD_IN 8122mW/8156mW VDD_CPU_GPU_CV 3604mW/3607mW VDD_SOC 1310mW/1337mW
[INFO] [1700614208.011006, 1710419133.516850]: timestamp 1700614208.00 VDD_IN 8204mW/8157mW VDD_CPU_GPU_CV 3604mW/3607mW VDD_SOC 1351mW/1337mW
[INFO] [1700614209.030677, 1710419134.538759]: timestamp 1700614209.00 VDD_IN 7999mW/8153mW VDD_CPU_GPU_CV 3399mW/3601mW VDD_SOC 1351mW/1338mW
[INFO] [1700614210.050081, 1710419135.553135]: timestamp 1700614210.00 VDD_IN 8122mW/8152mW VDD_CPU_GPU_CV 3604mW/3601mW VDD_SOC 1310mW/1337mW
[INFO] [1700614211.066248, 1710419136.570878]: timestamp 1700614211.00 VDD_IN 9230mW/8181mW VDD_CPU_GPU_CV 4587mW/3628mW VDD_SOC 1351mW/1337mW
[INFO] [1700614212.084999, 1710419137.588186]: timestamp 1700614212.00 VDD_IN 8122mW/8180mW VDD_CPU_GPU_CV 3563mW/3626mW VDD_SOC 1351mW/1338mW
[INFO] [1700614213.102894, 1710419138.610658]: timestamp 1700614213.00 VDD_IN 8204mW/8180mW VDD_CPU_GPU_CV 3686mW/3628mW VDD_SOC 1351mW/1338mW
[INFO] [1700614214.120603, 1710419139.622583]: timestamp 1700614214.00 VDD_IN 8081mW/8178mW VDD_CPU_GPU_CV 3481mW/3624mW VDD_SOC 1351mW/1338mW
[INFO] [1700614215.141372, 1710419140.643933]: timestamp 1700614215.00 VDD_IN 8163mW/8177mW VDD_CPU_GPU_CV 3604mW/3623mW VDD_SOC 1351mW/1338mW
[INFO] [1700614216.160753, 1710419141.667478]: timestamp 1700614216.00 VDD_IN 7220mW/8155mW VDD_CPU_GPU_CV 2744mW/3603mW VDD_SOC 1310mW/1338mW
[INFO] [1700614217.181121, 1710419142.691922]: timestamp 1700614217.00 VDD_IN 8081mW/8153mW VDD_CPU_GPU_CV 3563mW/3602mW VDD_SOC 1310mW/1337mW
[INFO] [1700614218.200938, 1710419143.704752]: timestamp 1700614218.00 VDD_IN 8245mW/8155mW VDD_CPU_GPU_CV 3686mW/3604mW VDD_SOC 1351mW/1337mW
[INFO] [1700614219.217297, 1710419144.725830]: timestamp 1700614219.00 VDD_IN 8040mW/8152mW VDD_CPU_GPU_CV 3440mW/3600mW VDD_SOC 1351mW/1338mW
[INFO] [1700614220.237998, 1710419145.747593]: timestamp 1700614220.00 VDD_IN 8081mW/8151mW VDD_CPU_GPU_CV 3563mW/3599mW VDD_SOC 1351mW/1338mW
[INFO] [1700614221.257483, 1710419146.761112]: timestamp 1700614221.00 VDD_IN 9230mW/8174mW VDD_CPU_GPU_CV 4628mW/3621mW VDD_SOC 1351mW/1338mW
[INFO] [1700614222.277532, 1710419147.783085]: timestamp 1700614222.00 VDD_IN 8245mW/8175mW VDD_CPU_GPU_CV 3645mW/3621mW VDD_SOC 1351mW/1339mW
[INFO] [1700614223.296428, 1710419123.933201]: timestamp 1700614223.00 VDD_IN 8409mW/8180mW VDD_CPU_GPU_CV 3891mW/3627mW VDD_SOC 1351mW/1339mW
[INFO] [1700614224.316280, 1710419124.957225]: timestamp 1700614224.00 VDD_IN 8245mW/8181mW VDD_CPU_GPU_CV 3645mW/3627mW VDD_SOC 1351mW/1339mW
[INFO] [1700614225.336077, 1710419125.969914]: timestamp 1700614225.00 VDD_IN 8327mW/8184mW VDD_CPU_GPU_CV 3686mW/3628mW VDD_SOC 1392mW/1340mW
[INFO] [1700614226.354636, 1710419126.992519]: timestamp 1700614226.00 VDD_IN 8286mW/8186mW VDD_CPU_GPU_CV 3727mW/3630mW VDD_SOC 1351mW/1340mW
[INFO] [1700614227.370694, 1710419128.013554]: timestamp 1700614227.00 VDD_IN 8163mW/8186mW VDD_CPU_GPU_CV 3522mW/3628mW VDD_SOC 1351mW/1340mW
[INFO] [1700614228.389370, 1710419129.024934]: timestamp 1700614228.00 VDD_IN 8081mW/8184mW VDD_CPU_GPU_CV 3604mW/3628mW VDD_SOC 1310mW/1340mW
[INFO] [1700614229.408593, 1710419130.049096]: timestamp 1700614229.00 VDD_IN 8286mW/8186mW VDD_CPU_GPU_CV 3686mW/3629mW VDD_SOC 1351mW/1340mW
