[INFO] [1700609484.789035, 0.000000]: Start power_monitor
[INFO] [1700609486.358509, 1710419136.687853]: timestamp 1700609486.00 VDD_IN 5160mW/5160mW VDD_CPU_GPU_CV 1146mW/1146mW VDD_SOC 1145mW/1145mW
[INFO] [1700609487.368363, 1710419137.691364]: timestamp 1700609487.00 VDD_IN 4956mW/5058mW VDD_CPU_GPU_CV 942mW/1044mW VDD_SOC 1145mW/1145mW
[INFO] [1700609488.376032, 1710419138.704169]: timestamp 1700609488.00 VDD_IN 4997mW/5037mW VDD_CPU_GPU_CV 983mW/1023mW VDD_SOC 1145mW/1145mW
[INFO] [1700609489.383008, 1710419139.710883]: timestamp 1700609489.00 VDD_IN 5079mW/5048mW VDD_CPU_GPU_CV 1064mW/1033mW VDD_SOC 1145mW/1145mW
[INFO] [1700609490.391196, 1710419140.724006]: timestamp 1700609490.00 VDD_IN 4997mW/5037mW VDD_CPU_GPU_CV 983mW/1023mW VDD_SOC 1145mW/1145mW
[INFO] [1700609491.399282, 1710419141.732485]: timestamp 1700609491.00 VDD_IN 5775mW/5160mW VDD_CPU_GPU_CV 1720mW/1139mW VDD_SOC 1145mW/1145mW
[INFO] [1700609492.406785, 1710419142.739123]: timestamp 1700609492.00 VDD_IN 5038mW/5143mW VDD_CPU_GPU_CV 1024mW/1123mW VDD_SOC 1145mW/1145mW
[INFO] [1700609493.414543, 1710419143.746270]: timestamp 1700609493.00 VDD_IN 5079mW/5135mW VDD_CPU_GPU_CV 1064mW/1115mW VDD_SOC 1145mW/1145mW
[INFO] [1700609494.423195, 1710419144.749507]: timestamp 1700609494.00 VDD_IN 4956mW/5115mW VDD_CPU_GPU_CV 942mW/1096mW VDD_SOC 1145mW/1145mW
[INFO] [1700609495.431124, 1710419145.764273]: timestamp 1700609495.00 VDD_IN 4874mW/5091mW VDD_CPU_GPU_CV 942mW/1081mW VDD_SOC 1145mW/1145mW
[INFO] [1700609496.438813, 1710419146.768958]: timestamp 1700609496.00 VDD_IN 4874mW/5071mW VDD_CPU_GPU_CV 942mW/1068mW VDD_SOC 1145mW/1145mW
[INFO] [1700609497.447218, 1710419147.780427]: timestamp 1700609497.00 VDD_IN 4915mW/5058mW VDD_CPU_GPU_CV 942mW/1057mW VDD_SOC 1145mW/1145mW
[INFO] [1700609498.455595, 1710419123.912039]: timestamp 1700609498.00 VDD_IN 5079mW/5059mW VDD_CPU_GPU_CV 1064mW/1058mW VDD_SOC 1145mW/1145mW
[INFO] [1700609499.465108, 1710419124.930069]: timestamp 1700609499.00 VDD_IN 5038mW/5058mW VDD_CPU_GPU_CV 1024mW/1055mW VDD_SOC 1145mW/1145mW
[INFO] [1700609500.472270, 1710419125.932130]: timestamp 1700609500.00 VDD_IN 4956mW/5051mW VDD_CPU_GPU_CV 942mW/1048mW VDD_SOC 1145mW/1145mW
[INFO] [1700609501.491203, 1710419126.947045]: timestamp 1700609501.00 VDD_IN 5201mW/5060mW VDD_CPU_GPU_CV 1228mW/1059mW VDD_SOC 1145mW/1145mW
[INFO] [1700609502.508967, 1710419127.968824]: timestamp 1700609502.00 VDD_IN 4833mW/5047mW VDD_CPU_GPU_CV 901mW/1050mW VDD_SOC 1145mW/1145mW
[INFO] [1700609503.529528, 1710419128.993967]: timestamp 1700609503.00 VDD_IN 4915mW/5040mW VDD_CPU_GPU_CV 942mW/1044mW VDD_SOC 1145mW/1145mW
[INFO] [1700609504.548988, 1710419130.007334]: timestamp 1700609504.00 VDD_IN 4874mW/5031mW VDD_CPU_GPU_CV 901mW/1036mW VDD_SOC 1145mW/1145mW
[INFO] [1700609505.569518, 1710419131.030744]: timestamp 1700609505.00 VDD_IN 4874mW/5023mW VDD_CPU_GPU_CV 901mW/1029mW VDD_SOC 1145mW/1145mW
[INFO] [1700609506.588722, 1710419132.053251]: timestamp 1700609506.00 VDD_IN 4874mW/5016mW VDD_CPU_GPU_CV 901mW/1023mW VDD_SOC 1145mW/1145mW
[INFO] [1700609507.606506, 1710419133.066560]: timestamp 1700609507.00 VDD_IN 4956mW/5013mW VDD_CPU_GPU_CV 942mW/1020mW VDD_SOC 1145mW/1145mW
