[INFO] [1715867336.107602, 0.000000]: Start power_monitor
[INFO] [1715867337.237259, 0.000000]: timestamp 1715867337.00 VDD_IN 6727mW/6727mW VDD_CPU_GPU_CV 2498mW/2498mW VDD_SOC 1187mW/1187mW
[INFO] [1715867338.256263, 0.000000]: timestamp 1715867338.00 VDD_IN 6184mW/6455mW VDD_CPU_GPU_CV 2007mW/2252mW VDD_SOC 1145mW/1166mW
[INFO] [1715867339.275550, 0.000000]: timestamp 1715867339.00 VDD_IN 6021mW/6310mW VDD_CPU_GPU_CV 1843mW/2116mW VDD_SOC 1145mW/1159mW
[INFO] [1715867340.293085, 0.000000]: timestamp 1715867340.00 VDD_IN 6021mW/6238mW VDD_CPU_GPU_CV 1843mW/2047mW VDD_SOC 1145mW/1155mW
[INFO] [1715867341.311908, 0.000000]: timestamp 1715867341.00 VDD_IN 6103mW/6211mW VDD_CPU_GPU_CV 1925mW/2023mW VDD_SOC 1185mW/1161mW
[INFO] [1715867342.333316, 0.000000]: timestamp 1715867342.00 VDD_IN 6112mW/6194mW VDD_CPU_GPU_CV 1925mW/2006mW VDD_SOC 1145mW/1158mW
[INFO] [1715867343.351394, 0.000000]: timestamp 1715867343.00 VDD_IN 5980mW/6164mW VDD_CPU_GPU_CV 1843mW/1983mW VDD_SOC 1146mW/1156mW
[INFO] [1715867344.372486, 0.000000]: timestamp 1715867344.00 VDD_IN 6317mW/6183mW VDD_CPU_GPU_CV 2129mW/2001mW VDD_SOC 1187mW/1160mW
[INFO] [1715867345.390333, 0.000000]: timestamp 1715867345.00 VDD_IN 6276mW/6193mW VDD_CPU_GPU_CV 2088mW/2011mW VDD_SOC 1187mW/1163mW
[INFO] [1715867346.409446, 0.000000]: timestamp 1715867346.00 VDD_IN 6153mW/6189mW VDD_CPU_GPU_CV 1966mW/2006mW VDD_SOC 1187mW/1165mW
[INFO] [1715867347.444856, 0.000000]: timestamp 1715867347.00 VDD_IN 6522mW/6219mW VDD_CPU_GPU_CV 2334mW/2036mW VDD_SOC 1187mW/1167mW
[INFO] [1715867348.466340, 0.000000]: timestamp 1715867348.00 VDD_IN 5989mW/6200mW VDD_CPU_GPU_CV 1802mW/2016mW VDD_SOC 1145mW/1165mW
