[INFO] [1715870337.377790, 0.000000]: Start power_monitor
[INFO] [1715870338.546634, 0.000000]: timestamp 1715870338.00 VDD_IN 8861mW/8861mW VDD_CPU_GPU_CV 4259mW/4259mW VDD_SOC 1310mW/1310mW
[INFO] [1715870339.556353, 0.000000]: timestamp 1715870339.00 VDD_IN 9394mW/9127mW VDD_CPU_GPU_CV 4792mW/4525mW VDD_SOC 1351mW/1330mW
[INFO] [1715870340.564106, 0.000000]: timestamp 1715870340.00 VDD_IN 8327mW/8860mW VDD_CPU_GPU_CV 3891mW/4314mW VDD_SOC 1310mW/1323mW
[INFO] [1715870341.583892, 0.000000]: timestamp 1715870341.00 VDD_IN 8368mW/8737mW VDD_CPU_GPU_CV 3768mW/4177mW VDD_SOC 1310mW/1320mW
[INFO] [1715870342.606110, 0.000000]: timestamp 1715870342.00 VDD_IN 8532mW/8696mW VDD_CPU_GPU_CV 3891mW/4120mW VDD_SOC 1310mW/1318mW
[INFO] [1715870343.626337, 0.000000]: timestamp 1715870343.00 VDD_IN 8615mW/8682mW VDD_CPU_GPU_CV 4014mW/4102mW VDD_SOC 1351mW/1323mW
[INFO] [1715870344.648712, 0.000000]: timestamp 1715870344.00 VDD_IN 8327mW/8632mW VDD_CPU_GPU_CV 3809mW/4060mW VDD_SOC 1310mW/1321mW
[INFO] [1715870345.667594, 0.000000]: timestamp 1715870345.00 VDD_IN 8327mW/8593mW VDD_CPU_GPU_CV 3768mW/4024mW VDD_SOC 1310mW/1320mW
[INFO] [1715870346.687607, 0.000000]: timestamp 1715870346.00 VDD_IN 8574mW/8591mW VDD_CPU_GPU_CV 3973mW/4018mW VDD_SOC 1310mW/1319mW
[INFO] [1715870347.709839, 0.000000]: timestamp 1715870347.00 VDD_IN 8738mW/8606mW VDD_CPU_GPU_CV 4177mW/4034mW VDD_SOC 1310mW/1318mW
[INFO] [1715870348.732404, 0.000000]: timestamp 1715870348.00 VDD_IN 8368mW/8584mW VDD_CPU_GPU_CV 3809mW/4013mW VDD_SOC 1310mW/1317mW
[INFO] [1715870349.751462, 0.000000]: timestamp 1715870349.00 VDD_IN 8491mW/8576mW VDD_CPU_GPU_CV 3809mW/3996mW VDD_SOC 1310mW/1316mW
[INFO] [1715870350.769787, 0.000000]: timestamp 1715870350.00 VDD_IN 8861mW/8598mW VDD_CPU_GPU_CV 4259mW/4016mW VDD_SOC 1310mW/1316mW
[INFO] [1715870351.893279, 0.000000]: timestamp 1715870351.00 VDD_IN 8779mW/8611mW VDD_CPU_GPU_CV 4136mW/4025mW VDD_SOC 1351mW/1318mW
[INFO] [1715870352.911975, 0.000000]: timestamp 1715870352.00 VDD_IN 8738mW/8620mW VDD_CPU_GPU_CV 4055mW/4027mW VDD_SOC 1351mW/1320mW
[INFO] [1715870353.933160, 0.000000]: timestamp 1715870353.00 VDD_IN 8779mW/8629mW VDD_CPU_GPU_CV 4177mW/4036mW VDD_SOC 1351mW/1322mW
