[INFO] [1715878525.139988, 0.000000]: Start power_monitor
[INFO] [1715878526.283345, 0.000000]: timestamp 1715878526.00 VDD_IN 10707mW/10707mW VDD_CPU_GPU_CV 5365mW/5365mW VDD_SOC 1597mW/1597mW
[INFO] [1715878527.335524, 0.000000]: timestamp 1715878527.00 VDD_IN 10338mW/10522mW VDD_CPU_GPU_CV 4915mW/5140mW VDD_SOC 1597mW/1597mW
[INFO] [1715878528.345354, 0.000000]: timestamp 1715878528.00 VDD_IN 10420mW/10488mW VDD_CPU_GPU_CV 5120mW/5133mW VDD_SOC 1597mW/1597mW
[INFO] [1715878529.352403, 0.000000]: timestamp 1715878529.00 VDD_IN 10666mW/10532mW VDD_CPU_GPU_CV 5283mW/5170mW VDD_SOC 1638mW/1607mW
[INFO] [1715878530.360209, 0.000000]: timestamp 1715878530.00 VDD_IN 10994mW/10625mW VDD_CPU_GPU_CV 5488mW/5234mW VDD_SOC 1679mW/1621mW
[INFO] [1715878531.367607, 0.000000]: timestamp 1715878531.00 VDD_IN 11076mW/10700mW VDD_CPU_GPU_CV 5529mW/5283mW VDD_SOC 1679mW/1631mW
[INFO] [1715878532.423616, 0.000000]: timestamp 1715878532.00 VDD_IN 11322mW/10789mW VDD_CPU_GPU_CV 5693mW/5341mW VDD_SOC 1679mW/1638mW
[INFO] [1715878533.432133, 0.000000]: timestamp 1715878533.00 VDD_IN 10707mW/10778mW VDD_CPU_GPU_CV 5324mW/5339mW VDD_SOC 1638mW/1638mW
[INFO] [1715878534.440364, 0.000000]: timestamp 1715878534.00 VDD_IN 10379mW/10734mW VDD_CPU_GPU_CV 5038mW/5306mW VDD_SOC 1597mW/1633mW
[INFO] [1715878535.448125, 0.000000]: timestamp 1715878535.00 VDD_IN 11035mW/10764mW VDD_CPU_GPU_CV 5570mW/5332mW VDD_SOC 1638mW/1633mW
[INFO] [1715878536.456176, 0.000000]: timestamp 1715878536.00 VDD_IN 11199mW/10803mW VDD_CPU_GPU_CV 5652mW/5361mW VDD_SOC 1679mW/1638mW
[INFO] [1715878537.608309, 0.000000]: timestamp 1715878537.00 VDD_IN 11158mW/10833mW VDD_CPU_GPU_CV 5652mW/5385mW VDD_SOC 1679mW/1641mW
[INFO] [1715878538.616136, 0.000000]: timestamp 1715878538.00 VDD_IN 11199mW/10861mW VDD_CPU_GPU_CV 5652mW/5406mW VDD_SOC 1679mW/1644mW
[INFO] [1715878539.623475, 0.000000]: timestamp 1715878539.00 VDD_IN 11158mW/10882mW VDD_CPU_GPU_CV 5652mW/5423mW VDD_SOC 1638mW/1643mW
