[INFO] [1700610742.368087, 0.000000]: Start power_monitor
[INFO] [1700610743.641102, 1710419125.720475]: timestamp 1700610743.00 VDD_IN 7671mW/7671mW VDD_CPU_GPU_CV 3194mW/3194mW VDD_SOC 1310mW/1310mW
[INFO] [1700610744.650527, 1710419126.731908]: timestamp 1700610744.00 VDD_IN 8491mW/8081mW VDD_CPU_GPU_CV 3891mW/3542mW VDD_SOC 1351mW/1330mW
[INFO] [1700610745.657791, 1710419127.743433]: timestamp 1700610745.00 VDD_IN 8450mW/8204mW VDD_CPU_GPU_CV 3850mW/3645mW VDD_SOC 1351mW/1337mW
[INFO] [1700610746.674220, 1710419128.754904]: timestamp 1700610746.00 VDD_IN 8368mW/8245mW VDD_CPU_GPU_CV 3727mW/3665mW VDD_SOC 1351mW/1340mW
[INFO] [1700610747.691799, 1710419129.777290]: timestamp 1700610747.00 VDD_IN 7671mW/8130mW VDD_CPU_GPU_CV 3276mW/3587mW VDD_SOC 1310mW/1334mW
[INFO] [1700610748.711050, 1710419130.798863]: timestamp 1700610748.00 VDD_IN 7630mW/8046mW VDD_CPU_GPU_CV 3194mW/3522mW VDD_SOC 1269mW/1323mW
[INFO] [1700610749.731556, 1710419131.811423]: timestamp 1700610749.00 VDD_IN 8327mW/8086mW VDD_CPU_GPU_CV 3850mW/3568mW VDD_SOC 1351mW/1327mW
[INFO] [1700610750.750587, 1710419132.834936]: timestamp 1700610750.00 VDD_IN 8450mW/8132mW VDD_CPU_GPU_CV 3973mW/3619mW VDD_SOC 1310mW/1325mW
[INFO] [1700610751.769682, 1710419133.853501]: timestamp 1700610751.00 VDD_IN 8122mW/8131mW VDD_CPU_GPU_CV 3645mW/3622mW VDD_SOC 1310mW/1323mW
[INFO] [1700610752.787826, 1710419134.869772]: timestamp 1700610752.00 VDD_IN 8081mW/8126mW VDD_CPU_GPU_CV 3563mW/3616mW VDD_SOC 1310mW/1322mW
[INFO] [1700610753.806967, 1710419135.891649]: timestamp 1700610753.00 VDD_IN 7507mW/8069mW VDD_CPU_GPU_CV 3112mW/3570mW VDD_SOC 1269mW/1317mW
[INFO] [1700610754.827745, 1710419136.913254]: timestamp 1700610754.00 VDD_IN 8122mW/8074mW VDD_CPU_GPU_CV 3604mW/3573mW VDD_SOC 1351mW/1320mW
[INFO] [1700610755.845132, 1710419137.925709]: timestamp 1700610755.00 VDD_IN 8122mW/8077mW VDD_CPU_GPU_CV 3645mW/3578mW VDD_SOC 1310mW/1319mW
[INFO] [1700610756.864737, 1710419138.948852]: timestamp 1700610756.00 VDD_IN 7466mW/8034mW VDD_CPU_GPU_CV 3072mW/3542mW VDD_SOC 1269mW/1315mW
[INFO] [1700610757.884598, 1710419139.972294]: timestamp 1700610757.00 VDD_IN 8204mW/8045mW VDD_CPU_GPU_CV 3645mW/3549mW VDD_SOC 1351mW/1318mW
[INFO] [1700610758.902797, 1710419140.985681]: timestamp 1700610758.00 VDD_IN 7056mW/7983mW VDD_CPU_GPU_CV 2744mW/3499mW VDD_SOC 1269mW/1315mW
[INFO] [1700610759.921691, 1710419142.006755]: timestamp 1700610759.00 VDD_IN 7548mW/7958mW VDD_CPU_GPU_CV 3112mW/3476mW VDD_SOC 1310mW/1314mW
[INFO] [1700610760.951062, 1710419143.028109]: timestamp 1700610760.00 VDD_IN 7753mW/7946mW VDD_CPU_GPU_CV 3358mW/3469mW VDD_SOC 1269mW/1312mW
[INFO] [1700610761.973092, 1710419144.058229]: timestamp 1700610761.00 VDD_IN 8327mW/7966mW VDD_CPU_GPU_CV 3809mW/3487mW VDD_SOC 1310mW/1312mW
[INFO] [1700610762.991903, 1710419145.079213]: timestamp 1700610762.00 VDD_IN 6727mW/7904mW VDD_CPU_GPU_CV 2457mW/3436mW VDD_SOC 1228mW/1307mW
[INFO] [1700610764.013421, 1710419146.100801]: timestamp 1700610764.00 VDD_IN 8450mW/7930mW VDD_CPU_GPU_CV 3768mW/3451mW VDD_SOC 1351mW/1310mW
[INFO] [1700610765.031415, 1710419147.114480]: timestamp 1700610765.00 VDD_IN 5652mW/7827mW VDD_CPU_GPU_CV 1556mW/3365mW VDD_SOC 1185mW/1304mW
[INFO] [1700610766.052352, 1710419148.136919]: timestamp 1700610766.00 VDD_IN 7958mW/7832mW VDD_CPU_GPU_CV 3399mW/3367mW VDD_SOC 1310mW/1304mW
[INFO] [1700610767.068901, 1710419124.286708]: timestamp 1700610767.00 VDD_IN 8245mW/7849mW VDD_CPU_GPU_CV 3686mW/3380mW VDD_SOC 1351mW/1306mW
[INFO] [1700610768.088195, 1710419125.300238]: timestamp 1700610768.00 VDD_IN 8204mW/7864mW VDD_CPU_GPU_CV 3604mW/3389mW VDD_SOC 1351mW/1308mW
[INFO] [1700610769.105578, 1710419126.322241]: timestamp 1700610769.00 VDD_IN 8368mW/7883mW VDD_CPU_GPU_CV 3768mW/3403mW VDD_SOC 1351mW/1309mW
[INFO] [1700610770.125712, 1710419127.344842]: timestamp 1700610770.00 VDD_IN 8081mW/7890mW VDD_CPU_GPU_CV 3481mW/3406mW VDD_SOC 1351mW/1311mW
[INFO] [1700610771.143880, 1710419128.357347]: timestamp 1700610771.00 VDD_IN 9271mW/7940mW VDD_CPU_GPU_CV 4669mW/3451mW VDD_SOC 1351mW/1312mW
[INFO] [1700610772.164199, 1710419129.380177]: timestamp 1700610772.00 VDD_IN 7466mW/7923mW VDD_CPU_GPU_CV 3072mW/3438mW VDD_SOC 1269mW/1311mW
[INFO] [1700610773.184382, 1710419130.402179]: timestamp 1700610773.00 VDD_IN 8245mW/7934mW VDD_CPU_GPU_CV 3768mW/3449mW VDD_SOC 1310mW/1311mW
[INFO] [1700610774.206219, 1710419131.425696]: timestamp 1700610774.00 VDD_IN 7835mW/7931mW VDD_CPU_GPU_CV 3399mW/3448mW VDD_SOC 1310mW/1311mW
[INFO] [1700610775.225318, 1710419132.436451]: timestamp 1700610775.00 VDD_IN 7999mW/7933mW VDD_CPU_GPU_CV 3563mW/3451mW VDD_SOC 1310mW/1311mW
[INFO] [1700610776.241277, 1710419133.458865]: timestamp 1700610776.00 VDD_IN 6235mW/7881mW VDD_CPU_GPU_CV 2088mW/3410mW VDD_SOC 1228mW/1308mW
[INFO] [1700610777.260188, 1710419134.474404]: timestamp 1700610777.00 VDD_IN 7958mW/7884mW VDD_CPU_GPU_CV 3481mW/3412mW VDD_SOC 1310mW/1308mW
[INFO] [1700610778.278825, 1710419135.497025]: timestamp 1700610778.00 VDD_IN 8368mW/7897mW VDD_CPU_GPU_CV 3809mW/3423mW VDD_SOC 1351mW/1309mW
[INFO] [1700610779.297769, 1710419136.508756]: timestamp 1700610779.00 VDD_IN 8368mW/7911mW VDD_CPU_GPU_CV 3809mW/3434mW VDD_SOC 1310mW/1309mW
[INFO] [1700610780.315641, 1710419137.531844]: timestamp 1700610780.00 VDD_IN 7999mW/7913mW VDD_CPU_GPU_CV 3522mW/3436mW VDD_SOC 1310mW/1309mW
[INFO] [1700610781.334693, 1710419138.550313]: timestamp 1700610781.00 VDD_IN 8409mW/7926mW VDD_CPU_GPU_CV 3932mW/3449mW VDD_SOC 1310mW/1309mW
[INFO] [1700610782.352379, 1710419139.572143]: timestamp 1700610782.00 VDD_IN 8163mW/7932mW VDD_CPU_GPU_CV 3686mW/3455mW VDD_SOC 1310mW/1309mW
[INFO] [1700610783.371481, 1710419140.583599]: timestamp 1700610783.00 VDD_IN 8081mW/7936mW VDD_CPU_GPU_CV 3563mW/3458mW VDD_SOC 1351mW/1310mW
[INFO] [1700610784.390872, 1710419141.605265]: timestamp 1700610784.00 VDD_IN 8081mW/7939mW VDD_CPU_GPU_CV 3563mW/3461mW VDD_SOC 1310mW/1310mW
[INFO] [1700610785.410929, 1710419142.627152]: timestamp 1700610785.00 VDD_IN 8574mW/7954mW VDD_CPU_GPU_CV 4014mW/3474mW VDD_SOC 1351mW/1311mW
[INFO] [1700610786.432223, 1710419143.649418]: timestamp 1700610786.00 VDD_IN 8163mW/7959mW VDD_CPU_GPU_CV 3686mW/3479mW VDD_SOC 1310mW/1311mW
[INFO] [1700610787.454440, 1710419144.670532]: timestamp 1700610787.00 VDD_IN 7917mW/7958mW VDD_CPU_GPU_CV 3440mW/3478mW VDD_SOC 1310mW/1311mW
[INFO] [1700610788.474005, 1710419145.691941]: timestamp 1700610788.00 VDD_IN 8040mW/7960mW VDD_CPU_GPU_CV 3563mW/3480mW VDD_SOC 1310mW/1311mW
[INFO] [1700610789.493110, 1710419146.706392]: timestamp 1700610789.00 VDD_IN 8245mW/7966mW VDD_CPU_GPU_CV 3768mW/3486mW VDD_SOC 1310mW/1311mW
[INFO] [1700610790.518073, 1710419147.730121]: timestamp 1700610790.00 VDD_IN 8204mW/7971mW VDD_CPU_GPU_CV 3686mW/3490mW VDD_SOC 1351mW/1312mW
[INFO] [1700610791.534487, 1710419123.887588]: timestamp 1700610791.00 VDD_IN 8779mW/7988mW VDD_CPU_GPU_CV 4218mW/3505mW VDD_SOC 1351mW/1313mW
[INFO] [1700610792.553648, 1710419124.899477]: timestamp 1700610792.00 VDD_IN 8245mW/7993mW VDD_CPU_GPU_CV 3727mW/3510mW VDD_SOC 1351mW/1314mW
[INFO] [1700610793.572944, 1710419125.923890]: timestamp 1700610793.00 VDD_IN 8368mW/8001mW VDD_CPU_GPU_CV 3850mW/3517mW VDD_SOC 1310mW/1314mW
[INFO] [1700610794.590582, 1710419126.935673]: timestamp 1700610794.00 VDD_IN 7999mW/8001mW VDD_CPU_GPU_CV 3522mW/3517mW VDD_SOC 1310mW/1313mW
[INFO] [1700610795.610003, 1710419127.959038]: timestamp 1700610795.00 VDD_IN 8409mW/8009mW VDD_CPU_GPU_CV 3850mW/3523mW VDD_SOC 1310mW/1313mW
[INFO] [1700610796.628820, 1710419128.982056]: timestamp 1700610796.00 VDD_IN 7753mW/8004mW VDD_CPU_GPU_CV 3276mW/3519mW VDD_SOC 1310mW/1313mW
[INFO] [1700610797.646992, 1710419129.994235]: timestamp 1700610797.00 VDD_IN 7958mW/8003mW VDD_CPU_GPU_CV 3522mW/3519mW VDD_SOC 1310mW/1313mW
[INFO] [1700610798.667276, 1710419131.018617]: timestamp 1700610798.00 VDD_IN 7015mW/7985mW VDD_CPU_GPU_CV 2703mW/3504mW VDD_SOC 1269mW/1312mW
[INFO] [1700610799.688191, 1710419132.041356]: timestamp 1700610799.00 VDD_IN 8081mW/7987mW VDD_CPU_GPU_CV 3604mW/3506mW VDD_SOC 1310mW/1312mW
[INFO] [1700610800.706950, 1710419133.053531]: timestamp 1700610800.00 VDD_IN 8368mW/7993mW VDD_CPU_GPU_CV 3768mW/3510mW VDD_SOC 1351mW/1313mW
[INFO] [1700610801.728531, 1710419134.079143]: timestamp 1700610801.00 VDD_IN 8697mW/8005mW VDD_CPU_GPU_CV 4096mW/3520mW VDD_SOC 1351mW/1314mW
[INFO] [1700610802.747908, 1710419135.093278]: timestamp 1700610802.00 VDD_IN 8040mW/8006mW VDD_CPU_GPU_CV 3563mW/3521mW VDD_SOC 1310mW/1314mW
[INFO] [1700610803.768373, 1710419136.117696]: timestamp 1700610803.00 VDD_IN 8122mW/8008mW VDD_CPU_GPU_CV 3604mW/3522mW VDD_SOC 1351mW/1314mW
[INFO] [1700610804.789053, 1710419137.142028]: timestamp 1700610804.00 VDD_IN 8245mW/8012mW VDD_CPU_GPU_CV 3686mW/3525mW VDD_SOC 1351mW/1315mW
[INFO] [1700610805.811687, 1710419138.163188]: timestamp 1700610805.00 VDD_IN 8450mW/8019mW VDD_CPU_GPU_CV 3973mW/3532mW VDD_SOC 1310mW/1315mW
[INFO] [1700610806.834829, 1710419139.178081]: timestamp 1700610806.00 VDD_IN 8163mW/8021mW VDD_CPU_GPU_CV 3645mW/3534mW VDD_SOC 1310mW/1315mW
[INFO] [1700610807.855681, 1710419140.203434]: timestamp 1700610807.00 VDD_IN 7917mW/8020mW VDD_CPU_GPU_CV 3399mW/3532mW VDD_SOC 1310mW/1315mW
[INFO] [1700610808.872516, 1710419141.221659]: timestamp 1700610808.00 VDD_IN 8040mW/8020mW VDD_CPU_GPU_CV 3563mW/3532mW VDD_SOC 1351mW/1315mW
[INFO] [1700610809.894809, 1710419142.244299]: timestamp 1700610809.00 VDD_IN 8368mW/8025mW VDD_CPU_GPU_CV 3809mW/3537mW VDD_SOC 1351mW/1316mW
[INFO] [1700610810.922755, 1710419143.266813]: timestamp 1700610810.00 VDD_IN 8615mW/8034mW VDD_CPU_GPU_CV 4096mW/3545mW VDD_SOC 1310mW/1316mW
[INFO] [1700610811.941567, 1710419144.293837]: timestamp 1700610811.00 VDD_IN 8409mW/8039mW VDD_CPU_GPU_CV 3850mW/3549mW VDD_SOC 1351mW/1316mW
[INFO] [1700610812.964194, 1710419145.314904]: timestamp 1700610812.00 VDD_IN 7343mW/8029mW VDD_CPU_GPU_CV 3072mW/3542mW VDD_SOC 1269mW/1315mW
[INFO] [1700610813.982065, 1710419146.327190]: timestamp 1700610813.00 VDD_IN 8040mW/8029mW VDD_CPU_GPU_CV 3522mW/3542mW VDD_SOC 1351mW/1316mW
[INFO] [1700610814.999275, 1710419147.349612]: timestamp 1700610814.00 VDD_IN 7876mW/8027mW VDD_CPU_GPU_CV 3317mW/3539mW VDD_SOC 1351mW/1316mW
[INFO] [1700610816.014415, 1710419148.360756]: timestamp 1700610816.00 VDD_IN 8122mW/8029mW VDD_CPU_GPU_CV 3522mW/3539mW VDD_SOC 1351mW/1317mW
[INFO] [1700610817.032681, 1710419124.516782]: timestamp 1700610817.00 VDD_IN 7343mW/8019mW VDD_CPU_GPU_CV 2949mW/3531mW VDD_SOC 1269mW/1316mW
[INFO] [1700610818.050541, 1710419125.528232]: timestamp 1700610818.00 VDD_IN 7999mW/8019mW VDD_CPU_GPU_CV 3440mW/3529mW VDD_SOC 1351mW/1317mW
[INFO] [1700610819.068691, 1710419126.550322]: timestamp 1700610819.00 VDD_IN 8122mW/8020mW VDD_CPU_GPU_CV 3604mW/3530mW VDD_SOC 1351mW/1317mW
[INFO] [1700610820.087155, 1710419127.571815]: timestamp 1700610820.00 VDD_IN 7015mW/8007mW VDD_CPU_GPU_CV 2703mW/3519mW VDD_SOC 1269mW/1316mW
[INFO] [1700610821.108233, 1710419128.583237]: timestamp 1700610821.00 VDD_IN 8861mW/8018mW VDD_CPU_GPU_CV 4341mW/3530mW VDD_SOC 1310mW/1316mW
[INFO] [1700610822.127019, 1710419129.607324]: timestamp 1700610822.00 VDD_IN 7302mW/8009mW VDD_CPU_GPU_CV 2990mW/3523mW VDD_SOC 1269mW/1316mW
[INFO] [1700610823.144143, 1710419130.620362]: timestamp 1700610823.00 VDD_IN 7425mW/8002mW VDD_CPU_GPU_CV 3031mW/3517mW VDD_SOC 1269mW/1315mW
[INFO] [1700610824.166238, 1710419131.644297]: timestamp 1700610824.00 VDD_IN 7507mW/7995mW VDD_CPU_GPU_CV 3112mW/3512mW VDD_SOC 1269mW/1315mW
[INFO] [1700610825.185524, 1710419132.665705]: timestamp 1700610825.00 VDD_IN 7015mW/7983mW VDD_CPU_GPU_CV 2703mW/3502mW VDD_SOC 1269mW/1314mW
[INFO] [1700610826.205873, 1710419133.690256]: timestamp 1700610826.00 VDD_IN 8409mW/7988mW VDD_CPU_GPU_CV 3891mW/3507mW VDD_SOC 1310mW/1314mW
[INFO] [1700610827.226449, 1710419134.703317]: timestamp 1700610827.00 VDD_IN 8122mW/7990mW VDD_CPU_GPU_CV 3604mW/3508mW VDD_SOC 1351mW/1314mW
[INFO] [1700610828.247788, 1710419135.726987]: timestamp 1700610828.00 VDD_IN 8409mW/7995mW VDD_CPU_GPU_CV 3850mW/3512mW VDD_SOC 1351mW/1315mW
[INFO] [1700610829.266882, 1710419136.749539]: timestamp 1700610829.00 VDD_IN 8409mW/8000mW VDD_CPU_GPU_CV 3850mW/3516mW VDD_SOC 1351mW/1315mW
[INFO] [1700610830.287446, 1710419137.770333]: timestamp 1700610830.00 VDD_IN 8122mW/8001mW VDD_CPU_GPU_CV 3604mW/3517mW VDD_SOC 1351mW/1316mW
[INFO] [1700610831.308912, 1710419138.787537]: timestamp 1700610831.00 VDD_IN 8984mW/8013mW VDD_CPU_GPU_CV 4464mW/3528mW VDD_SOC 1351mW/1316mW
[INFO] [1700610832.331007, 1710419139.811252]: timestamp 1700610832.00 VDD_IN 8122mW/8014mW VDD_CPU_GPU_CV 3604mW/3529mW VDD_SOC 1351mW/1316mW
[INFO] [1700610833.348208, 1710419140.825560]: timestamp 1700610833.00 VDD_IN 7343mW/8006mW VDD_CPU_GPU_CV 2949mW/3522mW VDD_SOC 1269mW/1316mW
[INFO] [1700610834.367177, 1710419141.848290]: timestamp 1700610834.00 VDD_IN 7548mW/8001mW VDD_CPU_GPU_CV 3112mW/3518mW VDD_SOC 1310mW/1316mW
[INFO] [1700610835.385752, 1710419142.869720]: timestamp 1700610835.00 VDD_IN 7548mW/7996mW VDD_CPU_GPU_CV 3194mW/3514mW VDD_SOC 1269mW/1315mW
[INFO] [1700610836.403681, 1710419143.881063]: timestamp 1700610836.00 VDD_IN 6974mW/7985mW VDD_CPU_GPU_CV 2703mW/3505mW VDD_SOC 1269mW/1315mW
[INFO] [1700610837.421756, 1710419144.902387]: timestamp 1700610837.00 VDD_IN 7958mW/7985mW VDD_CPU_GPU_CV 3522mW/3505mW VDD_SOC 1310mW/1315mW
[INFO] [1700610838.440991, 1710419145.924501]: timestamp 1700610838.00 VDD_IN 8409mW/7989mW VDD_CPU_GPU_CV 3850mW/3509mW VDD_SOC 1351mW/1315mW
[INFO] [1700610839.459414, 1710419146.936712]: timestamp 1700610839.00 VDD_IN 8409mW/7994mW VDD_CPU_GPU_CV 3850mW/3513mW VDD_SOC 1351mW/1316mW
[INFO] [1700610840.480812, 1710419147.959734]: timestamp 1700610840.00 VDD_IN 8368mW/7998mW VDD_CPU_GPU_CV 3809mW/3516mW VDD_SOC 1351mW/1316mW
[INFO] [1700610841.497592, 1710419124.106294]: timestamp 1700610841.00 VDD_IN 8081mW/7998mW VDD_CPU_GPU_CV 3645mW/3517mW VDD_SOC 1310mW/1316mW
[INFO] [1700610842.518809, 1710419125.129182]: timestamp 1700610842.00 VDD_IN 8286mW/8001mW VDD_CPU_GPU_CV 3727mW/3519mW VDD_SOC 1351mW/1316mW
[INFO] [1700610843.537657, 1710419126.152870]: timestamp 1700610843.00 VDD_IN 7384mW/7995mW VDD_CPU_GPU_CV 2990mW/3514mW VDD_SOC 1269mW/1316mW
[INFO] [1700610844.556632, 1710419127.166656]: timestamp 1700610844.00 VDD_IN 7425mW/7989mW VDD_CPU_GPU_CV 3031mW/3509mW VDD_SOC 1269mW/1315mW
[INFO] [1700610845.576638, 1710419128.189257]: timestamp 1700610845.00 VDD_IN 7876mW/7988mW VDD_CPU_GPU_CV 3440mW/3508mW VDD_SOC 1310mW/1315mW
[INFO] [1700610846.598138, 1710419129.211228]: timestamp 1700610846.00 VDD_IN 6809mW/7977mW VDD_CPU_GPU_CV 2416mW/3498mW VDD_SOC 1228mW/1314mW
[INFO] [1700610847.616960, 1710419130.235660]: timestamp 1700610847.00 VDD_IN 7425mW/7971mW VDD_CPU_GPU_CV 3072mW/3493mW VDD_SOC 1269mW/1314mW
[INFO] [1700610848.634854, 1710419131.248116]: timestamp 1700610848.00 VDD_IN 7835mW/7970mW VDD_CPU_GPU_CV 3440mW/3493mW VDD_SOC 1269mW/1313mW
[INFO] [1700610849.652186, 1710419132.269821]: timestamp 1700610849.00 VDD_IN 7220mW/7963mW VDD_CPU_GPU_CV 2867mW/3487mW VDD_SOC 1269mW/1313mW
[INFO] [1700610850.756340, 1710419133.372679]: timestamp 1700610850.00 VDD_IN 7507mW/7959mW VDD_CPU_GPU_CV 3112mW/3483mW VDD_SOC 1269mW/1313mW
[INFO] [1700610851.762848, 1710419134.376840]: timestamp 1700610851.00 VDD_IN 7794mW/7957mW VDD_CPU_GPU_CV 3358mW/3482mW VDD_SOC 1269mW/1312mW
[INFO] [1700610852.772037, 1710419135.381921]: timestamp 1700610852.00 VDD_IN 7507mW/7953mW VDD_CPU_GPU_CV 3112mW/3479mW VDD_SOC 1269mW/1312mW
[INFO] [1700610853.779662, 1710419136.397035]: timestamp 1700610853.00 VDD_IN 7712mW/7951mW VDD_CPU_GPU_CV 3317mW/3477mW VDD_SOC 1269mW/1311mW
[INFO] [1700610854.786748, 1710419137.402947]: timestamp 1700610854.00 VDD_IN 7917mW/7950mW VDD_CPU_GPU_CV 3440mW/3477mW VDD_SOC 1310mW/1311mW
[INFO] [1700610855.805547, 1710419138.415006]: timestamp 1700610855.00 VDD_IN 7999mW/7951mW VDD_CPU_GPU_CV 3522mW/3477mW VDD_SOC 1310mW/1311mW
[INFO] [1700610856.812721, 1710419139.426580]: timestamp 1700610856.00 VDD_IN 7179mW/7944mW VDD_CPU_GPU_CV 2826mW/3472mW VDD_SOC 1269mW/1311mW
[INFO] [1700610857.818849, 1710419140.432039]: timestamp 1700610857.00 VDD_IN 8286mW/7947mW VDD_CPU_GPU_CV 3768mW/3474mW VDD_SOC 1351mW/1311mW
[INFO] [1700610858.836966, 1710419141.454699]: timestamp 1700610858.00 VDD_IN 7917mW/7947mW VDD_CPU_GPU_CV 3440mW/3474mW VDD_SOC 1310mW/1311mW
[INFO] [1700610859.854527, 1710419142.469789]: timestamp 1700610859.00 VDD_IN 6851mW/7937mW VDD_CPU_GPU_CV 2539mW/3466mW VDD_SOC 1269mW/1311mW
[INFO] [1700610860.878094, 1710419143.493750]: timestamp 1700610860.00 VDD_IN 7097mW/7930mW VDD_CPU_GPU_CV 2744mW/3459mW VDD_SOC 1269mW/1311mW
[INFO] [1700610861.898280, 1710419144.509104]: timestamp 1700610861.00 VDD_IN 8204mW/7932mW VDD_CPU_GPU_CV 3727mW/3462mW VDD_SOC 1310mW/1311mW
[INFO] [1700610862.918169, 1710419145.529768]: timestamp 1700610862.00 VDD_IN 8327mW/7936mW VDD_CPU_GPU_CV 3768mW/3464mW VDD_SOC 1351mW/1311mW
[INFO] [1700610863.938327, 1710419146.551117]: timestamp 1700610863.00 VDD_IN 8081mW/7937mW VDD_CPU_GPU_CV 3604mW/3466mW VDD_SOC 1310mW/1311mW
[INFO] [1700610864.955914, 1710419147.572561]: timestamp 1700610864.00 VDD_IN 7425mW/7933mW VDD_CPU_GPU_CV 2990mW/3462mW VDD_SOC 1310mW/1311mW
[INFO] [1700610865.974441, 1710419148.585828]: timestamp 1700610865.00 VDD_IN 8204mW/7935mW VDD_CPU_GPU_CV 3727mW/3464mW VDD_SOC 1310mW/1311mW
[INFO] [1700610866.991851, 1710419124.738936]: timestamp 1700610866.00 VDD_IN 8081mW/7936mW VDD_CPU_GPU_CV 3563mW/3465mW VDD_SOC 1351mW/1311mW
[INFO] [1700610868.011868, 1710419125.761144]: timestamp 1700610868.00 VDD_IN 7958mW/7936mW VDD_CPU_GPU_CV 3522mW/3465mW VDD_SOC 1310mW/1311mW
[INFO] [1700610869.032178, 1710419126.782474]: timestamp 1700610869.00 VDD_IN 8081mW/7937mW VDD_CPU_GPU_CV 3563mW/3466mW VDD_SOC 1351mW/1311mW
[INFO] [1700610870.049147, 1710419127.793567]: timestamp 1700610870.00 VDD_IN 7302mW/7932mW VDD_CPU_GPU_CV 2908mW/3461mW VDD_SOC 1269mW/1311mW
[INFO] [1700610871.069803, 1710419128.815692]: timestamp 1700610871.00 VDD_IN 8984mW/7941mW VDD_CPU_GPU_CV 4423mW/3469mW VDD_SOC 1351mW/1311mW
[INFO] [1700610872.105723, 1710419129.849540]: timestamp 1700610872.00 VDD_IN 8245mW/7943mW VDD_CPU_GPU_CV 3768mW/3471mW VDD_SOC 1310mW/1311mW
[INFO] [1700610873.124879, 1710419130.872387]: timestamp 1700610873.00 VDD_IN 8163mW/7945mW VDD_CPU_GPU_CV 3604mW/3472mW VDD_SOC 1351mW/1312mW
[INFO] [1700610874.144469, 1710419131.893430]: timestamp 1700610874.00 VDD_IN 7630mW/7942mW VDD_CPU_GPU_CV 3194mW/3470mW VDD_SOC 1310mW/1312mW
[INFO] [1700610875.162374, 1710419132.906931]: timestamp 1700610875.00 VDD_IN 7425mW/7938mW VDD_CPU_GPU_CV 3031mW/3467mW VDD_SOC 1269mW/1311mW
[INFO] [1700610876.184154, 1710419133.931063]: timestamp 1700610876.00 VDD_IN 8204mW/7940mW VDD_CPU_GPU_CV 3645mW/3468mW VDD_SOC 1351mW/1312mW
[INFO] [1700610877.203882, 1710419134.953016]: timestamp 1700610877.00 VDD_IN 8327mW/7943mW VDD_CPU_GPU_CV 3850mW/3471mW VDD_SOC 1310mW/1312mW
[INFO] [1700610878.221717, 1710419135.970870]: timestamp 1700610878.00 VDD_IN 7384mW/7939mW VDD_CPU_GPU_CV 2990mW/3467mW VDD_SOC 1269mW/1311mW
[INFO] [1700610879.240827, 1710419136.982795]: timestamp 1700610879.00 VDD_IN 6153mW/7926mW VDD_CPU_GPU_CV 1966mW/3456mW VDD_SOC 1228mW/1311mW
[INFO] [1700610880.260643, 1710419138.006854]: timestamp 1700610880.00 VDD_IN 7835mW/7925mW VDD_CPU_GPU_CV 3358mW/3455mW VDD_SOC 1310mW/1311mW
[INFO] [1700610881.280392, 1710419139.030917]: timestamp 1700610881.00 VDD_IN 9025mW/7933mW VDD_CPU_GPU_CV 4423mW/3463mW VDD_SOC 1351mW/1311mW
[INFO] [1700610882.300188, 1710419140.042193]: timestamp 1700610882.00 VDD_IN 8450mW/7937mW VDD_CPU_GPU_CV 3891mW/3466mW VDD_SOC 1351mW/1311mW
[INFO] [1700610883.322237, 1710419141.066512]: timestamp 1700610883.00 VDD_IN 8532mW/7941mW VDD_CPU_GPU_CV 3932mW/3469mW VDD_SOC 1351mW/1312mW
[INFO] [1700610884.341049, 1710419142.089557]: timestamp 1700610884.00 VDD_IN 8409mW/7944mW VDD_CPU_GPU_CV 3891mW/3472mW VDD_SOC 1351mW/1312mW
[INFO] [1700610885.359732, 1710419143.101795]: timestamp 1700610885.00 VDD_IN 8532mW/7949mW VDD_CPU_GPU_CV 3973mW/3476mW VDD_SOC 1351mW/1312mW
[INFO] [1700610886.378653, 1710419144.125142]: timestamp 1700610886.00 VDD_IN 8409mW/7952mW VDD_CPU_GPU_CV 3850mW/3478mW VDD_SOC 1351mW/1312mW
[INFO] [1700610887.397480, 1710419145.147629]: timestamp 1700610887.00 VDD_IN 8450mW/7955mW VDD_CPU_GPU_CV 3891mW/3481mW VDD_SOC 1351mW/1313mW
[INFO] [1700610888.416980, 1710419146.160387]: timestamp 1700610888.00 VDD_IN 8532mW/7959mW VDD_CPU_GPU_CV 3973mW/3485mW VDD_SOC 1351mW/1313mW
[INFO] [1700610889.436483, 1710419147.182786]: timestamp 1700610889.00 VDD_IN 8491mW/7963mW VDD_CPU_GPU_CV 3932mW/3488mW VDD_SOC 1351mW/1313mW
[INFO] [1700610890.455957, 1710419148.204078]: timestamp 1700610890.00 VDD_IN 8615mW/7968mW VDD_CPU_GPU_CV 4014mW/3491mW VDD_SOC 1351mW/1313mW
[INFO] [1700610891.475570, 1710419124.356929]: timestamp 1700610891.00 VDD_IN 8902mW/7974mW VDD_CPU_GPU_CV 4382mW/3498mW VDD_SOC 1351mW/1314mW
[INFO] [1700610892.495504, 1710419125.368816]: timestamp 1700610892.00 VDD_IN 8122mW/7975mW VDD_CPU_GPU_CV 3686mW/3499mW VDD_SOC 1310mW/1314mW
