[INFO] [1700605394.432732, 0.000000]: Start power_monitor
[INFO] [1700605396.150413, 1710419124.754880]: timestamp 1700605395.00 VDD_IN 7876mW/7876mW VDD_CPU_GPU_CV 2990mW/2990mW VDD_SOC 1433mW/1433mW
[INFO] [1700605397.158984, 1710419125.773666]: timestamp 1700605397.00 VDD_IN 10091mW/8983mW VDD_CPU_GPU_CV 4628mW/3809mW VDD_SOC 1679mW/1556mW
[INFO] [1700605398.166971, 1710419126.777258]: timestamp 1700605398.00 VDD_IN 9640mW/9202mW VDD_CPU_GPU_CV 4341mW/3986mW VDD_SOC 1597mW/1569mW
[INFO] [1700605399.175717, 1710419127.790054]: timestamp 1700605399.00 VDD_IN 10338mW/9486mW VDD_CPU_GPU_CV 4669mW/4157mW VDD_SOC 1720mW/1607mW
[INFO] [1700605400.183185, 1710419128.797070]: timestamp 1700605400.00 VDD_IN 10420mW/9673mW VDD_CPU_GPU_CV 4833mW/4292mW VDD_SOC 1720mW/1629mW
[INFO] [1700605401.191752, 1710419129.802325]: timestamp 1700605401.00 VDD_IN 10379mW/9790mW VDD_CPU_GPU_CV 4874mW/4389mW VDD_SOC 1679mW/1638mW
[INFO] [1700605402.201833, 1710419130.817614]: timestamp 1700605402.00 VDD_IN 10420mW/9880mW VDD_CPU_GPU_CV 4792mW/4446mW VDD_SOC 1720mW/1649mW
[INFO] [1700605403.208854, 1710419131.819287]: timestamp 1700605403.00 VDD_IN 10338mW/9937mW VDD_CPU_GPU_CV 4792mW/4489mW VDD_SOC 1679mW/1653mW
[INFO] [1700605404.217472, 1710419132.828932]: timestamp 1700605404.00 VDD_IN 9394mW/9877mW VDD_CPU_GPU_CV 4055mW/4441mW VDD_SOC 1638mW/1651mW
[INFO] [1700605405.226960, 1710419133.834715]: timestamp 1700605405.00 VDD_IN 10379mW/9927mW VDD_CPU_GPU_CV 4587mW/4456mW VDD_SOC 1761mW/1662mW
[INFO] [1700605406.234467, 1710419134.850372]: timestamp 1700605406.00 VDD_IN 10338mW/9964mW VDD_CPU_GPU_CV 4751mW/4482mW VDD_SOC 1720mW/1667mW
[INFO] [1700605407.243017, 1710419135.859453]: timestamp 1700605407.00 VDD_IN 9722mW/9944mW VDD_CPU_GPU_CV 4259mW/4464mW VDD_SOC 1638mW/1665mW
[INFO] [1700605408.251128, 1710419136.864046]: timestamp 1700605408.00 VDD_IN 9886mW/9940mW VDD_CPU_GPU_CV 4382mW/4457mW VDD_SOC 1679mW/1666mW
[INFO] [1700605409.258783, 1710419137.869071]: timestamp 1700605409.00 VDD_IN 10214mW/9959mW VDD_CPU_GPU_CV 4710mW/4475mW VDD_SOC 1679mW/1667mW
[INFO] [1700605410.271531, 1710419138.883546]: timestamp 1700605410.00 VDD_IN 6225mW/9710mW VDD_CPU_GPU_CV 1884mW/4303mW VDD_SOC 1267mW/1640mW
[INFO] [1700605411.291515, 1710419139.900245]: timestamp 1700605411.00 VDD_IN 8697mW/9647mW VDD_CPU_GPU_CV 3727mW/4267mW VDD_SOC 1474mW/1630mW
[INFO] [1700605412.315999, 1710419140.924036]: timestamp 1700605412.00 VDD_IN 6103mW/9438mW VDD_CPU_GPU_CV 1802mW/4122mW VDD_SOC 1267mW/1608mW
[INFO] [1700605413.338962, 1710419141.949435]: timestamp 1700605413.00 VDD_IN 9353mW/9434mW VDD_CPU_GPU_CV 4136mW/4122mW VDD_SOC 1597mW/1608mW
[INFO] [1700605414.356637, 1710419142.967560]: timestamp 1700605414.00 VDD_IN 6430mW/9275mW VDD_CPU_GPU_CV 2007mW/4011mW VDD_SOC 1308mW/1592mW
