[INFO] [1700612802.736834, 0.000000]: Start power_monitor
[INFO] [1700612803.861175, 1710419146.804285]: timestamp 1700612803.00 VDD_IN 8163mW/8163mW VDD_CPU_GPU_CV 3686mW/3686mW VDD_SOC 1310mW/1310mW
[INFO] [1700612804.872434, 1710419147.826757]: timestamp 1700612804.00 VDD_IN 7302mW/7732mW VDD_CPU_GPU_CV 2949mW/3317mW VDD_SOC 1269mW/1289mW
[INFO] [1700612805.890376, 1710419123.974288]: timestamp 1700612805.00 VDD_IN 8532mW/7999mW VDD_CPU_GPU_CV 4014mW/3549mW VDD_SOC 1351mW/1310mW
[INFO] [1700612806.906272, 1710419124.986613]: timestamp 1700612806.00 VDD_IN 7261mW/7814mW VDD_CPU_GPU_CV 2908mW/3389mW VDD_SOC 1269mW/1299mW
[INFO] [1700612807.926693, 1710419126.011566]: timestamp 1700612807.00 VDD_IN 8122mW/7876mW VDD_CPU_GPU_CV 3645mW/3440mW VDD_SOC 1310mW/1301mW
[INFO] [1700612808.944198, 1710419127.032560]: timestamp 1700612808.00 VDD_IN 7876mW/7876mW VDD_CPU_GPU_CV 3440mW/3440mW VDD_SOC 1310mW/1303mW
[INFO] [1700612809.963178, 1710419128.045543]: timestamp 1700612809.00 VDD_IN 8163mW/7917mW VDD_CPU_GPU_CV 3645mW/3469mW VDD_SOC 1310mW/1304mW
[INFO] [1700612810.989054, 1710419129.069026]: timestamp 1700612810.00 VDD_IN 8656mW/8009mW VDD_CPU_GPU_CV 4096mW/3547mW VDD_SOC 1351mW/1310mW
[INFO] [1700612812.004621, 1710419130.092755]: timestamp 1700612812.00 VDD_IN 8327mW/8044mW VDD_CPU_GPU_CV 3768mW/3572mW VDD_SOC 1351mW/1314mW
[INFO] [1700612813.020025, 1710419131.107071]: timestamp 1700612813.00 VDD_IN 8122mW/8052mW VDD_CPU_GPU_CV 3604mW/3575mW VDD_SOC 1310mW/1314mW
[INFO] [1700612814.036096, 1710419132.118658]: timestamp 1700612814.00 VDD_IN 7548mW/8006mW VDD_CPU_GPU_CV 3153mW/3537mW VDD_SOC 1269mW/1310mW
[INFO] [1700612815.054589, 1710419133.139697]: timestamp 1700612815.00 VDD_IN 8081mW/8012mW VDD_CPU_GPU_CV 3563mW/3539mW VDD_SOC 1310mW/1310mW
[INFO] [1700612816.073736, 1710419134.154157]: timestamp 1700612816.00 VDD_IN 7876mW/8002mW VDD_CPU_GPU_CV 3399mW/3528mW VDD_SOC 1310mW/1310mW
[INFO] [1700612817.092230, 1710419135.180084]: timestamp 1700612817.00 VDD_IN 8450mW/8034mW VDD_CPU_GPU_CV 3850mW/3551mW VDD_SOC 1351mW/1312mW
[INFO] [1700612818.110567, 1710419136.193685]: timestamp 1700612818.00 VDD_IN 8327mW/8053mW VDD_CPU_GPU_CV 3850mW/3571mW VDD_SOC 1310mW/1312mW
[INFO] [1700612819.128073, 1710419137.207855]: timestamp 1700612819.00 VDD_IN 8245mW/8065mW VDD_CPU_GPU_CV 3645mW/3575mW VDD_SOC 1351mW/1315mW
[INFO] [1700612820.145740, 1710419138.229385]: timestamp 1700612820.00 VDD_IN 8368mW/8083mW VDD_CPU_GPU_CV 3850mW/3592mW VDD_SOC 1351mW/1317mW
[INFO] [1700612821.163460, 1710419139.242637]: timestamp 1700612821.00 VDD_IN 9271mW/8149mW VDD_CPU_GPU_CV 4710mW/3654mW VDD_SOC 1351mW/1319mW
[INFO] [1700612822.183922, 1710419140.263754]: timestamp 1700612822.00 VDD_IN 8738mW/8180mW VDD_CPU_GPU_CV 4177mW/3681mW VDD_SOC 1351mW/1320mW
[INFO] [1700612823.202064, 1710419141.285608]: timestamp 1700612823.00 VDD_IN 7999mW/8171mW VDD_CPU_GPU_CV 3481mW/3671mW VDD_SOC 1351mW/1322mW
[INFO] [1700612824.222857, 1710419142.308911]: timestamp 1700612824.00 VDD_IN 7425mW/8135mW VDD_CPU_GPU_CV 3031mW/3641mW VDD_SOC 1310mW/1321mW
[INFO] [1700612825.250365, 1710419143.330460]: timestamp 1700612825.00 VDD_IN 8368mW/8146mW VDD_CPU_GPU_CV 3850mW/3650mW VDD_SOC 1310mW/1321mW
