[INFO] [1700607854.306691, 0.000000]: Start power_monitor
[INFO] [1700607855.634452, 1710419147.219771]: timestamp 1700607855.00 VDD_IN 6512mW/6512mW VDD_CPU_GPU_CV 2007mW/2007mW VDD_SOC 1267mW/1267mW
[INFO] [1700607856.646968, 1710419148.233764]: timestamp 1700607856.00 VDD_IN 10256mW/8384mW VDD_CPU_GPU_CV 4751mW/3379mW VDD_SOC 1679mW/1473mW
[INFO] [1700607857.655516, 1710419124.380839]: timestamp 1700607857.00 VDD_IN 10009mW/8925mW VDD_CPU_GPU_CV 4587mW/3781mW VDD_SOC 1638mW/1528mW
[INFO] [1700607858.663602, 1710419125.381747]: timestamp 1700607858.00 VDD_IN 10050mW/9206mW VDD_CPU_GPU_CV 4505mW/3962mW VDD_SOC 1679mW/1565mW
[INFO] [1700607859.674150, 1710419126.396090]: timestamp 1700607859.00 VDD_IN 8697mW/9104mW VDD_CPU_GPU_CV 3645mW/3899mW VDD_SOC 1556mW/1563mW
[INFO] [1700607860.683583, 1710419127.399712]: timestamp 1700607860.00 VDD_IN 10379mW/9317mW VDD_CPU_GPU_CV 4874mW/4061mW VDD_SOC 1720mW/1589mW
[INFO] [1700607861.690779, 1710419128.409830]: timestamp 1700607861.00 VDD_IN 10297mW/9457mW VDD_CPU_GPU_CV 4915mW/4183mW VDD_SOC 1638mW/1596mW
[INFO] [1700607862.697495, 1710419129.413257]: timestamp 1700607862.00 VDD_IN 9435mW/9454mW VDD_CPU_GPU_CV 4177mW/4182mW VDD_SOC 1597mW/1596mW
[INFO] [1700607863.706432, 1710419130.427175]: timestamp 1700607863.00 VDD_IN 10173mW/9534mW VDD_CPU_GPU_CV 4751mW/4245mW VDD_SOC 1679mW/1605mW
[INFO] [1700607864.715517, 1710419131.431397]: timestamp 1700607864.00 VDD_IN 9845mW/9565mW VDD_CPU_GPU_CV 4423mW/4263mW VDD_SOC 1679mW/1613mW
[INFO] [1700607865.724293, 1710419132.448410]: timestamp 1700607865.00 VDD_IN 9230mW/9534mW VDD_CPU_GPU_CV 3973mW/4237mW VDD_SOC 1597mW/1611mW
[INFO] [1700607866.734568, 1710419133.454703]: timestamp 1700607866.00 VDD_IN 8902mW/9482mW VDD_CPU_GPU_CV 3727mW/4194mW VDD_SOC 1556mW/1607mW
[INFO] [1700607867.742778, 1710419134.467761]: timestamp 1700607867.00 VDD_IN 10132mW/9532mW VDD_CPU_GPU_CV 4587mW/4224mW VDD_SOC 1720mW/1615mW
[INFO] [1700607868.750022, 1710419135.472179]: timestamp 1700607868.00 VDD_IN 10584mW/9607mW VDD_CPU_GPU_CV 4956mW/4277mW VDD_SOC 1761mW/1626mW
[INFO] [1700607869.758691, 1710419136.477748]: timestamp 1700607869.00 VDD_IN 9804mW/9620mW VDD_CPU_GPU_CV 4341mW/4281mW VDD_SOC 1679mW/1629mW
[INFO] [1700607870.767718, 1710419137.489977]: timestamp 1700607870.00 VDD_IN 10091mW/9649mW VDD_CPU_GPU_CV 4423mW/4290mW VDD_SOC 1761mW/1637mW
[INFO] [1700607871.777265, 1710419138.500950]: timestamp 1700607871.00 VDD_IN 10994mW/9728mW VDD_CPU_GPU_CV 5242mW/4346mW VDD_SOC 1761mW/1645mW
[INFO] [1700607872.792904, 1710419139.513896]: timestamp 1700607872.00 VDD_IN 10214mW/9755mW VDD_CPU_GPU_CV 4710mW/4366mW VDD_SOC 1720mW/1649mW
[INFO] [1700607873.811121, 1710419140.527417]: timestamp 1700607873.00 VDD_IN 9148mW/9723mW VDD_CPU_GPU_CV 3768mW/4334mW VDD_SOC 1638mW/1648mW
[INFO] [1700607874.832209, 1710419141.550647]: timestamp 1700607874.00 VDD_IN 10461mW/9760mW VDD_CPU_GPU_CV 4751mW/4355mW VDD_SOC 1761mW/1654mW
[INFO] [1700607875.847566, 1710419142.565709]: timestamp 1700607875.00 VDD_IN 10666mW/9803mW VDD_CPU_GPU_CV 4956mW/4384mW VDD_SOC 1761mW/1659mW
[INFO] [1700607876.866437, 1710419143.589423]: timestamp 1700607876.00 VDD_IN 9886mW/9807mW VDD_CPU_GPU_CV 4382mW/4384mW VDD_SOC 1679mW/1660mW
[INFO] [1700607877.888721, 1710419144.611433]: timestamp 1700607877.00 VDD_IN 10543mW/9839mW VDD_CPU_GPU_CV 4792mW/4401mW VDD_SOC 1761mW/1664mW
[INFO] [1700607878.909751, 1710419145.630061]: timestamp 1700607878.00 VDD_IN 10009mW/9846mW VDD_CPU_GPU_CV 4587mW/4409mW VDD_SOC 1638mW/1663mW
[INFO] [1700607879.930502, 1710419146.653316]: timestamp 1700607879.00 VDD_IN 10338mW/9866mW VDD_CPU_GPU_CV 4710mW/4421mW VDD_SOC 1720mW/1665mW
[INFO] [1700607880.959110, 1710419147.678620]: timestamp 1700607880.00 VDD_IN 10050mW/9873mW VDD_CPU_GPU_CV 4628mW/4429mW VDD_SOC 1679mW/1666mW
[INFO] [1700607881.982861, 1710419123.827653]: timestamp 1700607881.00 VDD_IN 10379mW/9892mW VDD_CPU_GPU_CV 4833mW/4444mW VDD_SOC 1679mW/1666mW
[INFO] [1700607882.998968, 1710419124.851239]: timestamp 1700607882.00 VDD_IN 10214mW/9903mW VDD_CPU_GPU_CV 4751mW/4455mW VDD_SOC 1679mW/1667mW
[INFO] [1700607884.017485, 1710419125.866230]: timestamp 1700607884.00 VDD_IN 9845mW/9901mW VDD_CPU_GPU_CV 4341mW/4451mW VDD_SOC 1679mW/1667mW
[INFO] [1700607885.036944, 1710419126.890149]: timestamp 1700607885.00 VDD_IN 9968mW/9903mW VDD_CPU_GPU_CV 4546mW/4454mW VDD_SOC 1679mW/1668mW
[INFO] [1700607886.056082, 1710419127.906515]: timestamp 1700607886.00 VDD_IN 9763mW/9899mW VDD_CPU_GPU_CV 4300mW/4449mW VDD_SOC 1679mW/1668mW
[INFO] [1700607887.074883, 1710419128.930053]: timestamp 1700607887.00 VDD_IN 9312mW/9880mW VDD_CPU_GPU_CV 4055mW/4437mW VDD_SOC 1597mW/1666mW
[INFO] [1700607888.094805, 1710419129.942833]: timestamp 1700607888.00 VDD_IN 10256mW/9892mW VDD_CPU_GPU_CV 4669mW/4444mW VDD_SOC 1720mW/1667mW
[INFO] [1700607889.115103, 1710419130.967382]: timestamp 1700607889.00 VDD_IN 9804mW/9889mW VDD_CPU_GPU_CV 4423mW/4443mW VDD_SOC 1679mW/1668mW
[INFO] [1700607890.135317, 1710419131.991815]: timestamp 1700607890.00 VDD_IN 10338mW/9902mW VDD_CPU_GPU_CV 4751mW/4452mW VDD_SOC 1720mW/1669mW
